Structured comment name	Value syntax	Example																										
chem_mutagen	{text};{float} {unit};{Rn/start_time/end_time/duration}	nitrous acid;0.5 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
chem_oxygen_dem	{float} {unit}																											
chem_treat_method	{float} {unit};{Rn/start_time/end_time/duration};{duration};{duration}																											
chem_treatment	{text};{text};{timestamp}	ACCENT 1125;DOW;2010-11-17																										
chimera_check	{text} {text}																											
chloride	{float} {unit}	5000 milligram per liter																										
chlorophyll	{float} {unit}	5 milligram per cubic meter																										
climate_environment	{text};{period};{interval};{period}																											
climate_environment	{text};{Rn/start_time/end_time/duration}	tropical climate;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
coll_site_geo_feat	{text}|{termLabel} {[termID]}	grocery store [ENVO:01000984]																										
coll_site_geo_feat	{text}|{termLabel} {[termID]}	grocery store [GENEPIO:0001020]																										
collection_date	{timestamp}	2018-05-11T10:00:00+01:00																										
collection_date	{timestamp}	2018-05-11T10:00:00+01:00; 2018-05-11																										
conduc	{float} {unit}	10 milliSiemens per centimeter																										
cons_food_stor_dur	{duration}	P5D																										
cons_food_stor_temp	{float} {unit}|{text}	4 degree Celsius																										
cons_purch_date	{timestamp}	11/30/19																										
cons_qty_purchased	{integer} {unit}	5 cans																										
cool_syst_id	{integer}	12345																										
crop_rotation	{boolean};{Rn/start_time/end_time/duration}	yes;R2/2017-01-01/2018-12-31/P6M																										
crop_rotation	{boolean};Rn/{timestamp}/{period}																											
crop_yield	{float}{unit}	570 kilogram per metre square																										
cult_isol_date	{timestamp}	2018-05-11T10:00:00+01:00																										
cult_isol_date	YYYY-MM-DD	2/26/20																										
cult_result	[absent|active|inactive|negative|no|present|positive|yes]	positive																										
cult_result_org	{termLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]																										
cult_root_med	{text}|{PMID}|{DOI}|{URL}	http://himedialabs.com/TD/PT158.pdf																										
cult_target	{termLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]																										
