Structured comment name	Value syntax	Example																										
host_of_host_gravid	{boolean};{timestamp}																											
host_of_host_infname	{text}																											
host_of_host_infrank	{text}																											
host_of_host_name	{text}	snail																										
host_of_host_pheno	{term}																											
host_of_host_sub_id	{text}	H3																										
host_of_host_taxid	{integer}	145637																										
host_of_host_totmass	{float} {unit}																											
host_phenotype	{term}	soldier																										
host_phenotype	{term}																											
host_phenotype	{termLabel} {[termID]}	elongated [PATO:0001154]																										
host_phenotype	{termLabel} {[termID]}	Tinnitus [HP:0000360]																										
host_phenotype	{text};{termLabel} {[termID]}	seed pod; green [PATO:0000320]																										
host_pulse	{float} {unit}	65 beats per minute																										
host_sex	[female|hermaphrodite|male|neuter]																											
host_sex	"[female|hermaphrodite|non-binary|male|transgender|transgender (female to male)|transgender (male to female)
|undeclared]"	non-binary																										
host_shape	{text}	round																										
host_shape	{text}																											
host_spec_range	{integer}																											
host_specificity	[family-specific|generalist||genus-specific|species-specific]	species-specific																										
host_subject_id	{text}	MPI123																										
host_subject_id	{text}	P14																										
host_subspecf_genlin	{rank name}:{text}	"serovar:Newport, variety:glabrum, cultivar: Red Delicious"																										
host_substrate	{text}	rock																										
host_substrate	{text}																											
host_symbiont	{text}	flukeworms																										
host_symbiont	{text}	Paragordius varius																										
host_taxid	{integer}	9606																										
host_taxid	{integer}	395013																										
host_taxid	{NCBI taxid}	4530																										
host_taxid	{NCBI taxid}	7955																										
host_tot_mass	{float} {unit}	2500 gram																										
host_tot_mass	{float} {unit}	65 kilogram																										
host_tot_mass	{float} {unit}																											
host_wet_mass	{float} {unit}	1500 gram																										
hrt	{timestamp}	5/11/18																										
humidity	{float} {unit}	25 gram per cubic meter																										
humidity	{float} {unit}	30% relative humidity																										
humidity_regm	{float} {unit};{Rn/start_time/end_time/duration}	25 gram per cubic meter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
hygienic_area	{termLabel} {[termID]}	Low Hygiene Area																										
hysterectomy	{boolean}	no																										
IFSAC_category	{text}	Plants:Produce:Vegetables:Herbs:Dried Herbs																										
ihmc_medication_code	{integer}	810																										
indoor_space	[bedroom|office|bathroom|foyer|kitchen|locker room|hallway|elevator]	foyer																										
indoor_surf	[cabinet|ceiling|counter top|door|shelving|vent cover|window|wall]	wall																										
indust_eff_percent	{float} {unit}																											
inorg_particles	{text};{float} {unit}																											
inside_lux	{float} {unit}																											
int_wall_cond	[new|visible wear|needs repair|damaged|rupture]	damaged																										
intended_consumer	{integer}|{termLabel} {[termID]}	9606 o rsenior as food consumer [FOODON:03510254]																										
isol_growth_condt	{PMID|DOI|URL}																											
iw_bt_date_well	{timestamp}	5/11/18																										
iwf	{float} {unit}																											
kidney_disord	{text}																											
last_clean	{timestamp}	2018-05-11:T14:30Z																										
lat_lon	{float} {float}	50.586825 6.408977																										
lib_layout	[paired|single|vector|other]	paired																										
lib_reads_seqd	{integer}																											
lib_screen	{text}	"enriched, screened, normalized"																										
lib_size	{integer}																											
lib_vector	{text}																											
library_prep_kit	{text}	Illumina DNA Prep																										
library_prep_kit	{text}	"llumina DNA Prep, (M) Tagmentation"																										
light_intensity	{float} {unit}	0.3 lux																										
light_regm	{text};{float} {unit};{float} {unit}	incandescant light;10 lux;450 nanometer																										
light_type	[natural light|electric light|desk lamp|flourescent lights|natural light|none]	desk lamp																										
link_addit_analys	{PMID}|{DOI}|{URL}																											
link_class_info	{PMID}|{DOI}|{URL}																											
link_class_info	{PMID|DOI|URL}																											
link_climate_info	{PMID}|{DOI}|{URL}																											
link_climate_info	{PMID|DOI|URL}																											
lithology	[Basement|Chalk|Chert|Coal|Conglomerate|Diatomite|Dolomite|Limestone|Sandstone|Shale|Siltstone|Volcanic|other]	Volcanic																										
liver_disord	{text}																											
local_class	{text}																											
local_class_meth	{PMID}|{DOI}|{URL}																											
local_class_meth	{PMID|DOI|URL}																											
lot_number	"{integer}, {text}"	"1239ABC01A, split Cornish hens"																										
magnesium	{float} {unit}	52.8 micromole per kilogram																										
maternal_health_stat	{text}																											
max_occup	{integer}																											
mean_frict_vel	{float} {unit}	0.5 meter per second																										
mean_peak_frict_vel	{float} {unit}	1 meter per second																										
mech_struc	[subway|coach|carriage|elevator|escalator|boat|train|car|bus]	elevator																										
mechanical_damage	{text};{text}	pruning;bark																										
medic_hist_perform	{boolean}	TRUE																										
menarche	{timestamp}	5/11/18																										
menopause	{timestamp}	5/11/18																										
methane	{float} {unit}	0.15 micromole per liter																										
methane	{float} {unit}	1800 parts per billion																										
micro_biomass_meth	{PMID}|{DOI}|{URL}																											
microb_cult_med	{text}|{termLabel} {[termID]}	brain heart infusion agar [MICRO:0000566]																										
microb_start	{term label} {[termID]}|{text}	starter cultures [FOODON:03544454]																										
microb_start_count	{text};{float} {unit};[ATP|MPN|qPCR|spread plate|other]	total prokaryotes;3.5e9 colony forming units per milliliter;spread plate																										
microb_start_inoc	{float} {unit}	100 milligrams																										
microb_start_prep	{text}	"liquid starter culture, propagated 3 cycles in milk prior to inoculation"																										
microb_start_source	{text}	"backslopped, GetCulture"																										
microb_start_taxID	{termLabel} {[termID]}|{integer}	Lactobacillus rhamnosus [NCIT:C123495]																										
microbial_biomass	{float} {unit}																											
microbial_biomass_meth	{PMID|DOI|URL}																											
mid	{dna}																											
mineral_nutr_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	potassium;15 gram;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
misc_param	{text};{float} {unit}	Bicarbonate ion concentration;2075 micromole per kilogram																										
misc_param	{text};{float} {unit}																											
mode_transmission	[horizontal:castrator|horizontal:directly transmitted|horizontal:micropredator|horizontal:parasitoid|horizontal:trophically transmitted|horizontal:vector transmitted|vertical]	horizontal:castrator																										
n_alkanes	{text};{float} {unit}	n-hexadecane;100 milligram per liter																										
nitrate	{float} {unit}	65 micromole per liter																										
nitrite	{float} {unit}	0.5 micromole per liter																										
nitro	{float} {unit}	4.2 micromole per liter																										
non_min_nutr_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	carbon dioxide;10 mole per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
non_mineral_nutr_regm	{text};{float} {unit};{period};{interval};{period}																											
nose_throat_disord	{text}																											
nucl_acid_amp	{PMID|DOI|URL}																											
nucl_acid_ext	{PMID}|{DOI}|{URL}	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf																										
nucl_acid_ext	{PMID|DOI|URL}																											
nucl_acid_ext_kit	{text}	Qiagen PowerSoil Kit																										
num_samp_collect	{float} {unit}	116 samples																										
number_pets	{integer}																											
number_plants	{integer}																											
number_resident	{integer}																											
occup_density_samp	{float}																											
occup_document	[automated count|estimate|manual count|videos]	estimate																										
occup_samp	{integer}	10																										
org_carb	{float} {unit}	1.5 microgram per liter																										
org_count_qpcr_info	{text};FWD:{dna};REV:{dna};initial denaturation:degrees_minutes;denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes; total cycles																											
org_matter	{float} {unit}	1.75 milligram per cubic meter																										
org_nitro	{float} {unit}	4 micromole per liter																										
org_particles	{text};{float} {unit}																											
organism_count	{text};{float} {unit}	total prokaryotes;3.5e7 cells per milliliter;qPCR																										
organism_count	{text};{float} {unit};[ATP|MPN|qPCR|other]	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR																										
organism_count	{text};{float} {unit};[qPCR|ATP|MPN|other]	total prokaryotes;3.5e7 cells per milliliter;qPCR																										
owc_tvdss	{float} {unit}																											
oxy_stat_samp	[aerobic|anaerobic]	aerobic																										
oxy_stat_samp	[aerobic|anaerobic]																											
oxy_stat_samp	[aerobic|anaerobic|other]	aerobic																										
oxygen	{float} {unit}	600 parts per million																										
part_org_carb	{float} {unit}	1.92 micromole per liter																										
part_org_nitro	{float} {unit}	0.3 micromole per liter																										
part_plant_animal	{text}|{termLabel} {[termID]}	chuck [FOODON:03530021]																										
particle_class	{text};{float} {unit}																											
pathogenicity	{term}	"human, animal, plant, fungi, bacteria"																										
pcr_cond	initial denaturation:degrees_minutes; annealing:degrees_minutes; elongation: degrees_minutes; final elongation:degrees_minutes; total cycles																											
pcr_primers		FWD: forward primer sequence REV:reverse primer sequence																										
permeability	{integer} - {integer} {unit}																											
perturbation	{text};{interval}																											
perturbation	{text};{Rn/start_time/end_time/duration}	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M																										
perturbation	{text};{Rn/start_time/end_time/duration}																											
pesticide_regm	{text};{float} {unit};{period};{interval};{period}																											
pesticide_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	pyrethrum;0.6 milligram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
pet_farm_animal	{boolean};{text}	yes; 5 cats																										
petroleum_hydrocarb	{float} {unit}	0.05 micromole per liter																										
ph	{float}	7.2																										
ph_meth	{PMID}|{DOI}|{URL}	https://www.epa.gov/sites/production/files/2015-12/documents/9040c.pdf																										
ph_meth	{PMID}|{DOI}|{URL}																											
ph_meth	{PMID|DOI|URL}																											
ph_regm	{float};{period};{interval};{period}																											
ph_regm	{float};{Rn/start_time/end_time/duration}	7.6;R2/2018-05-11:T14:30/2018-05-11T19:30/P1H30M																										
phaeopigments	{text};{float} {unit}	2.5 milligram per cubic meter																										
phosphate	{float} {unit}	0.7 micromole per liter																										
phosplipid_fatt_acid	{text};{float} {unit}	2.98 milligram per liter																										
photon_flux	{float} {unit}	3.926 micromole photons per second per square meter																										
photosynt_activ	{float} {unit}	_mol CO2 m-2 s-1																										
photosynt_activ_meth	{PMID}|{DOI}|{URL}|{text}																											
plant_growth_med	{termLabel} {[termID]} or [husk|other artificial liquid medium|other artificial solid medium|peat moss|perlite|pumice|sand|soil|vermiculite|water]	hydroponic plant culture media [EO:0007067]																										
plant_growth_med	{termLabel} {[termID]} or [husk|other artificial liquid medium|other artificial solid medium|peat moss|perlite|pumice|sand|soil|vermiculite|water]	soil																										
plant_part_maturity	{term label}{term ID}	ripe or mature [FOODON:03530052]																										
plant_product	{text}	xylem sap [PO:0025539]																										
plant_product	{text}																											
plant_reprod_crop	[plant cutting|pregerminated seed|ratoon|seed|seedling|whole mature plant]	seedling																										
plant_sex	[Androdioecious|Androecious|Androgynous|Androgynomonoecious|Andromonoecious|Bisexual|Dichogamous|Diclinous|Dioecious|Gynodioecious|Gynoecious|Gynomonoecious|Hermaphroditic|Imperfect|Monoclinous|Monoecious|Perfect|Polygamodioecious|Polygamomonoecious|Polygamous|Protandrous|Protogynous|Subandroecious|Subdioecious|Subgynoecious|Synoecious|Trimonoecious|Trioecious|Unisexual]	Hermaphroditic																										
plant_struc	{termLabel} {[termID]}	epidermis [PO:0005679]																										
plant_water_method	{termLabel} {[termID]}	drip irrigation process [AGRO:00000056]																										
pollutants	{text};{float} {unit}	lead;0.15 microgram per cubic meter																										
pool_dna_extracts	"{boolean},{integer}"	"yes, 5"																										
pool_dna_extracts	{boolean};{float} {unit}																											
pool_dna_extracts	{boolean};{integer}	yes;5																										
porosity	{float} - {float} {unit}																											
potassium	{float} {unit}	463 milligram per liter																										
pour_point	{float} {unit}																											
pre_treatment	{text}																											
pregnancy	{timestamp}	5/11/18																										
pres_animal_insect	[cat|dog|rodent|snake|other];{integer}	cat;5																										
pressure	{float} {unit}	50 atmosphere																										
prev_land_use_meth	{PMID}|{DOI}|{URL}																											
previous_land_use	{text};{timestamp}	fallow; 2018-05-11:T14:30Z																										
previous_land_use	{text};{timestamp}																											
previous_land_use_meth	{PMID|DOI|URL}																											
primary_prod	{float} {unit}	100 milligram per cubic meter per day																										
primary_treatment	{text}																											
prod_label_claims	{text}	free range																										
prod_rate	{float} {unit}																											
prod_start_date	{timestamp}	5/11/18																										
profile_position	[summit|shoulder|backslope|footslope|toeslope]	summit																										
profile_position	[summit|shoulder|backslope|footslope|toeslope]																											
project_name	{text}	Forest soil metagenome																										
pulmonary_disord	{text}																											
quad_pos	[North side|West side|South side|East side]	West side																										
radiation_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	gamma radiation;60 gray;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
rainfall_regm	{float} {unit};{Rn/start_time/end_time/duration}	15 millimeter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
reactor_type	{text}																											
redox_potential	{float} {unit}	300 millivolt																										
rel_air_humidity	{float} {unit}	80%																										
rel_humidity_out	{float} {unit}	12 per kilogram of air																										
rel_location	{text}	furrow																										
rel_location		furrow																										
rel_samp_loc	[edge of car|center of car|under a seat]	center of car																										
repository_name	{text}	FDA CFSAN Microbiology Laboratories																										
reservoir	{text}																											
resins_pc	{text};{float} {unit}																											
room_air_exch_rate	{float} {unit}																											
room_architec_elem	{text}																											
room_condt	[new|visible wear|needs repair|damaged|rupture|visible signs of mold/mildew]	new																										
room_connected	[attic|bathroom|closet|conference room|elevator|examining room|hallway|kitchen|mail room|office|stairwell]	office																										
room_count	{integer}																											
room_dim	{integer} {unit} x {integer} {unit} x {integer} {unit}	4 meter x 4 meter x 4 meter																										
room_dim	{integer} {unit} x {integer} {unit} x {integer} {unit}																											
room_door_dist	{integer} {unit}																											
room_door_share	{text};{integer}																											
room_hallway	{text};{integer}																											
room_loc	[corner room|interior room|exterior wall]	interior room																										
room_moist_dam_hist	{integer}																											
room_net_area	{integer} {unit}																											
room_occup	{integer}																											
room_samp_pos	[north corner|south corner|west corner|east corner|northeast corner|northwest corner|southeast corner|southwest corner|center]	south corner																										
room_type	"[attic|bathroom|closet|conference room|elevator|examining room|hallway|kitchen|mail room|private office|open office|stairwell|,restroom|lobby|vestibule|mechanical or electrical room|data center|laboratory_wet|laboratory_dry|gymnasium|natatorium|auditorium|lockers|cafe|warehouse]"	bathroom																										
room_vol	{integer} {unit}																											
room_wall_share	{text};{integer}																											
room_window_count	{integer}																											
root_cond	{PMID}|{DOI}|{URL}|{text}	http://himedialabs.com/TD/PT158.pdf																										
root_med_carbon	{text};{float} {unit}	sucrose																										
root_med_macronutr	{text};{float} {unit}	KH2PO4;170 milligram per liter																										
root_med_micronutr	{text};{float} {unit}	H3BO3;6.2 milligram per liter																										
root_med_ph	{float}	7.5																										
root_med_regl	{text};{float} {unit}	abscisic acid;0.75 milligram per liter																										
root_med_solid	{text}	agar																										
root_med_suppl	{text};{float} {unit}	nicotinic acid;0.5 milligram per liter																										
route_transmission	[environmental:faecal-oral|transplacental|vector-borne:vector penetration]																											
salinity	{float} {unit}	25 practical salinity unit																										
salinity_meth	{PMID}|{DOI}|{URL}	PMID: 22895776																										
salinity_meth	{PMID}|{DOI}|{URL}																											
salt_regm	{text};{float} {unit};{period};{interval};{period}																											
salt_regm	{text};{float} {unit};{Rn/start_time/end_time/duration}	NaCl;5 gram per liter;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
samp_capt_status	[active surveillance in response to an outbreak|active surveillance not initiated by an outbreak|farm sample|market sample|other]	farm sample																										
samp_collect_device	{termLabel} {[termID]}|{text}	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"																										
samp_collect_device	{text}	"biopsy, niskin bottle, push core"																										
samp_collect_method	{PMID}|{DOI}|{URL}|{text}	environmental swab sampling																										
samp_collect_point	[well|test well|drilling rig|wellhead|separator|storage tank|other]	well																										
samp_dis_stage	[dissemination|growth and reproduction|infection|inoculation|penetration|other]	infection																										
samp_floor	[1st floor|2nd floor|{integer} floor|basement|lobby]	4th floor																										
samp_loc_condition	[damaged|new|rupture|visible signs of mold-mildew|visible weariness repair]	new																										
samp_loc_corr_rate	{float} - {float} {unit}																											
samp_mat_process	{text|term}	"filtering of seawater, storing samples in ethanol"																										
samp_md	{float} {unit};[GL|DF|RT|KB|MSL|other]	1534 meter;MSL																										
samp_name	{text}	ISDsoil1																										
samp_pooling	{text}	5uL of extracted genomic DNA from 5 leaves were pooled																										
samp_pooling																												
samp_preserv	{text};{float} {unit}																											
samp_purpose	[active surveillance in response to an outbreak|active surveillance not initiated by an outbreak|clinical trial|cluster investigation|environmental assessment|farm sample|field trial|for cause|industry internal investigation|market sample|passive surveillance|population based studies|research|research and development] or {text}	field trial																										
samp_rep_biol	{float} {unit}	6 replicates																										
samp_rep_tech	{float} {unit}	10 replicates																										
samp_room_id	{integer}																											
samp_salinity	{float} {unit}	1 milligram per liter																										
samp_size	{float} {unit}	5 liters																										
samp_size	{float} {unit}																											
samp_sort_meth	{text}																											
samp_source_mat_cat	{termLabel} {[termID]}	environmental (swab or sampling) [GENEPIO:0001732]																										
samp_source_mat_cat	{termLabel} {[termID]}	environmental swab specimen [OBI:0002613]																										
samp_stor_device	{text}|{termLabel} {[termID]}	Whirl Pak sampling bag [GENEPIO:0002122]																										
samp_stor_dur	{duration}	P1Y6M																										
samp_stor_loc	{text}	freezer 5																										
samp_stor_media	{text}|{termLabel} {[termID]}	peptone water medium [MICRO:0000548]																										
samp_stor_temp	{float} {unit}	-80 degree Celsius																										
samp_store_dur	{duration}	P1Y6M																										
samp_store_dur	{interval}																											
samp_store_loc	{text}	Freezer no:5																										
samp_store_loc	{text}																											
samp_store_sol	{text}	5% ethanol																										
samp_store_temp	{float} {unit}	-80 degree Celsius																										
samp_store_temp	{float} {unit}																											
samp_subtype	[oil phase|water phase|biofilm|not applicable|other]	biofilm																										
samp_surf_moisture	[intermittent moisture|not present|submerged]	submerged																										
samp_time_out	{float}																											
samp_transport_cond	{float} {unit};{float} {unit}	5 days;-20 degree Celsius																										
samp_transport_cont	[bottle|cooler|glass vial|plastic vial||vendor supplied container]	cooler																										
samp_transport_dur	{float} {unit}	P10D																										
samp_transport_temp	{float} {unit} {text}	4 degree Celsius																										
samp_tvdss	{float}-{float} {unit}																											
samp_type	{termLabel} {[termID]}	built environment sample [GENEPIO:0001248]																										
samp_vol_we_dna_ext	{float} {unit}	1500 milliliter																										
samp_vol_we_dna_ext	{float} {unit}																											
samp_weather	[clear sky|cloudy|foggy|hail|rain|snow|sleet|sunny|windy]	foggy																										
samp_well_name	{text}																											
sample_collec_method	{PMID}|{DOI}|{URL}|{text}	environmental swab sampling																										
sample_name	{text}	ISDsoil1																										
saturates_pc	{text};{float} {unit}																											
season	{termLabel} {[termID]}	autumn [NCIT:C94733]																										
season_environment	{text};{period};{interval};{period}																											
season_environment	{text};{Rn/start_time/end_time/duration}	rainy;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
season_humidity	{float} {unit}	25%																										
season_precpt	{float} {unit}	75 millimeters																										
season_precpt	{float} {unit}																											
season_temp	{float} {unit}	18 degree Celsius																										
season_use	[Spring|Summer|Fall|Winter]	Winter																										
secondary_treatment	{text}																											
sediment_type	[biogenous|cosmogenous|hydrogenous|lithogenous]	biogenous																										
seq_meth	{termLabel} {[termID]}|{text}	454 Genome Sequencer FLX [OBI:0000702]																										
seq_quality_check	[none|manually edited]																											
sequencing_kit	{text}	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)																										
sequencing_location	{text}	University of Maryland Genomics Resource Center																										
serovar_or_serotype	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]																										
sewage_type	{text}																											
sexual_act	{text}																											
shad_dev_water_mold	[presence of mold visible|no presence of mold visible]	no presence of mold visible																										
shading_device_cond	[damaged|needs repair|new|rupture|visible wear]	new																										
shading_device_loc	[exterior|interior]	exterior																										
shading_device_mat	{text}																											
shading_device_type	[bahama shutters|exterior roll blind|gambrel awning|hood awning|porchroller awning|sarasota shutters|slatted aluminum|solid aluminum awning|sun screen|tree|trellis|venetian awning]	slatted aluminum awning																										
sieving	{{text}|{float} {unit}};{float} {unit}																											
silicate	{float} {unit}	0.05 micromole per liter																										
size_frac_low	{float} {unit}	0.2 micrometer																										
size_frac_up	{float} {unit}	20 micrometer																										
slope_aspect	{float} {unit}																											
slope_gradient	{float} {unit}																											
sludge_retent_time	{float} {unit}																											
smoker	{boolean}	yes																										
sodium	{float} {unit}	10.5 milligram per liter																										
soil_conductivity	{float} {unit}	10 milliSiemens per centimeter																										
soil_conductivity																												
soil_cover	{termLabel} {[termID]}	bare soil [ENVO01001616]																										
soil_cover																												
soil_depth	{float} {unit}	5 cm																										
soil_horizon	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]	A horizon																										
soil_horizon	enumeration	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]																										
soil_pH	{float}	7.2																										
soil_pH																												
soil_porosity	{percentage}	20%																										
soil_temp	{float}{unit}	25 degrees Celsius																										
soil_text_measure	{float} {unit}																											
soil_texture_class	[clay|clay loam|loam|loamy sand|sand|sandy clay|sandy clay loam|sandy loam|silt|silty clay|silty clay loam|silt loam]	silty clay loam																										
soil_texture_meth	{PMID}|{DOI}|{URL}	https://uwlab.soils.wisc.edu/wp-content/uploads/sites/17/2015/09/particle_size.pdf (hydrometer method)																										
soil_texture_meth	{PMID}|{DOI}|{URL}																											
soil_type	{termLabel} {[termID]}	plinthosol [ENVO:00002250]																										
soil_type	"{termLabel} {[termID]}
"	plinthosol [ENVO:00002250]																										
soil_type	{text}																											
soil_type_meth	{PMID}|{DOI}|{URL}	Frederick series; Weikert series																										
soil_type_meth	{PMID}|{DOI}|{URL}																											
soil_type_meth	{PMID|DOI|URL}																											
solar_irradiance	{float} {unit}	1.36 kilowatts per square meter per day																										
soluble_inorg_mat	{text};{float} {unit}																											
soluble_org_mat	{text};{float} {unit}																											
soluble_react_phosp	{float} {unit}	0.1 milligram per liter																										
sop	{PMID|DOI|URL}																											
source_mat_id	{text}	MPI012345																										
source_mat_id	{text}																											
space_typ_state	[typically occupied|typically unoccupied]	typically occupied																										
spec_intended_cons	{termLabel} {[termID]}	senior as food consumer [FOODON:03510254]																										
special_diet	[low carb|reduced calorie|vegetarian|other(to be specified)]	other:vegan																										
specific	[operation|as built|construction|bid|design|photos]	construction																										
specific_host	{text}|{NCBI taxid}	Homo sapiens and/or 9606																										
specific_humidity	{float} {unit}	15 per kilogram of air																										
spikein_AMR	{float} {unit};{termLabel} {[termID]}	wild type [ARO:3004432]																										
spikein_antibiotic	{text} {integer}	Tetracycline at 5 mg/ml																										
spikein_count	{text};{float} {unit};[ATP|MPN|qPCR|other]	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR																										
spikein_growth_med	{text}|{termLabel} {[termID]}	LB broth [MCO:0000036]																										
spikein_metal	{text} {integer}	Cd at 20 ppm																										
spikein_org	{termLabel} {[termID]}|{integer}	Listeria monocytogenes [NCIT:C86502]|28901																										
spikein_serovar	{termLabel} {[termID]}|{integer}	Escherichia coli strain O157:H7 [NCIT:C86883]|83334																										
spikein_strain	{termLabel} {[termID]}|{integer}	169963																										
sr_dep_env	[Lacustine|Fluvioldeltaic|Fluviomarine|Marine|other]	Marine																										
sr_geol_age	[Archean|Cambrian|Carboniferous|Cenozoic|Cretaceous|Devonian|Jurassic|Mesozoic|Neogene|Ordovician|Paleogene|Paleozoic|Permian|Precambrian|Proterozoic|Silurian|Triassic|other]	Silurian																										
sr_kerog_type	[Type I|Type II|Type III|Type IV|other]	Type IV																										
sr_lithology	[Clastic|Carbonate|Coal|Biosilicieous|other]	Coal																										
standing_water_regm	{text};{period};{interval};{period}																											
standing_water_regm	{text};{Rn/start_time/end_time/duration}	standing water;R2/2018-05-11T14:30/2018-05-11T19:30/P1H30M																										
ster_meth_samp_room	{text}|{termLabel} {[termID]}	ultraviolet radiation [ENVO:21001216]|infrared radiation [ENVO:21001214]																										
store_cond	{text};{duration}	-20 degree Celsius freezer;P2Y10D																										
store_cond	{text};{period}																											
study_complt_stat	{boolean};[adverse event|non-compliance|lost to follow up|other-specify]	no;non-compliance																										
study_design	{text}|{termLabel} {[termID]}	in vitro design [OBI:0001285]																										
study_inc_dur	{float} {unit}	P24H																										
study_inc_temp	{float} {unit}	37 degree Celsius																										
study_timecourse	{float} {unit}	2 days post inoculation																										
study_tmnt	{text}|{termLabel} {[termID]}	"Factor A|spike-in|levels high, medium, low"																										
subspecf_gen_lin	{rank name}:{text}	serovar:Newport																										
substructure_type	[crawlspace|slab on grade|basement]	basement																										
sulfate	{float} {unit}	5 micromole per liter																										
sulfate_fw	{float} {unit}																											
sulfide	{float} {unit}	2 micromole per liter																										
surf_air_cont	[dust|organic matter|particulate matter|volatile organic compounds|biological contaminants|radon|nutrients|biocides]	radon																										
surf_humidity	{float} {unit}	10%																										
surf_material	[adobe|carpet|cinder blocks|concrete|hay bales|glass|metal|paint|plastic|stainless steel|stone|stucco|tile|vinyl|wood]	wood																										
surf_moisture	{float} {unit}	0.01 gram per square meter																										
surf_moisture_ph	{float}	7																										
surf_temp	{float} {unit}	15 degree Celsius																										
suspend_part_matter	{float} {unit}	0.5 milligram per liter																										
suspend_solids	{text};{float} {unit}																											
sym_life_cycle_type	[complex life cycle | simple life cycle]	complex life cycle																										
symbiont_host_role	[accidental|dead-end|definitive|intermediate|paratenic|reservoir|single host]	intermediate																										
tan	{float} {unit}																											
target_gene	{text}	"16S rRNA, 18S rRNA, nif, amoA, rpo"																										
target_subfragment	{text}	"V6, V9, ITS"																										
temp	{float} {unit}	25 degree Celsius																										
temp	{float} {unit}																											
temp_out	{float} {unit}	5 degree Celsius																										
tertiary_treatment	{text}																											
texture	{float} {unit}																											
texture_meth	{PMID}|{DOI}|{URL}																											
tidal_stage	[low tide|ebb tide|flood tide|high tide]	high tide																										
tillage	[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]	chisel																										
tillage	[drill|cutting disc|ridge till|strip tillage|zonal tillage|chisel|tined|mouldboard|disc plough]																											
time_last_toothbrush	{duration}	P2H45M																										
time_since_last_wash	{duration}	P1D																										
timepoint	{float}	P24H																										
tiss_cult_growth_med	{PMID}|{DOI}|{URL}|{text}	https://link.springer.com/content/pdf/10.1007/BF02796489.pdf																										
toluene	{float} {unit}																											
tot_car	{float} {unit}																											
tot_carb	{float} {unit}																											
tot_depth_water_col	{float} {unit}	500 meter																										
tot_diss_nitro	{float} {unit}	40 microgram per liter																										
tot_inorg_nitro	{float} {unit}	40 microgram per liter																										
tot_iron	{float} {unit}																											
tot_n_meth	{PMID|DOI|URL}																											
tot_nitro	{float} {unit}	50 micromole per liter																										
tot_nitro	{float} {unit}																											
tot_nitro_cont_meth	{PMID}|{DOI}|{URL}	https://currentprotocols.onlinelibrary.wiley.com/doi/abs/10.1002/0471142913.fab0102s00																										
tot_nitro_cont_meth	{PMID}|{DOI}|{URL}																											
tot_nitro_content	{float} {unit}	35 milligrams Nitrogen per kilogram of soil																										
tot_nitro_content	{float} {unit}																											
tot_org_c_meth	{PMID}|{DOI}|{URL}	https://www.epa.gov/sites/production/files/2015-12/documents/9060a.pdf																										
tot_org_c_meth	{PMID}|{DOI}|{URL}																											
tot_org_c_meth	{PMID|DOI|URL}																											
tot_org_carb	{float} {unit}																											
tot_org_carb	{percentage}	2%																										
tot_part_carb	{float} {unit}	35 micromole per liter																										
tot_phos	{float} {unit}																											
tot_phosp	{float} {unit}	0.03 milligram per liter																										
tot_phosphate	{float} {unit}																											
tot_sulfur	{float} {unit}																											
train_line	[red|green|orange]	red																										
train_stat_loc	[south station above ground|south station underground|south station amtrak|forest hills|riverside]	forest hills																										
train_stop_loc	[end|mid|downtown]	end																										
travel_out_six_month	{text}																											
