enum	permissible_value	meaning	aliases	broad_mappings	close_mappings	comments	deprecated	deprecated_element_has_exact_replacement	deprecated_element_has_possible_replacement	description	exact_mappings	examples	from_schema	imported_from	in_language	in_subset	mappings	narrow_mappings	notes	rank	related_mappings	see_also	source	title	todos	file_name_pattern
> enum	permissible_value	meaning	aliases	broad_mappings	close_mappings	comments	deprecated	deprecated_element_has_exact_replacement	deprecated_element_has_possible_replacement	description	exact_mappings	examples	from_schema	imported_from	in_language	in_subset	mappings	narrow_mappings	notes	rank	related_mappings	see_also	source	title	todos	annotations
>			"internal_separator: ""|"""	"internal_separator: ""|"""	"internal_separator: ""|"""	"internal_separator: ""|"""					"internal_separator: ""|"""	"internal_separator: ""|"""				"internal_separator: ""|"""	"internal_separator: ""|"""	"internal_separator: ""|"""	"internal_separator: ""|"""		"internal_separator: ""|"""	"internal_separator: ""|"""			"internal_separator: ""|"""	inner_key: file_name_pattern
file type enum													https://microbiomedata/schema													
file type enum	FT ICR-MS Analysis Results									FT ICR-MS-based molecular formula assignment results table																
file type enum	GC-MS Metabolomics Results									GC-MS-based metabolite assignment results table																
file type enum	Metaproteomics Workflow Statistics									Aggregate workflow statistics file																
file type enum	Protein Report									Filtered protein report file																
file type enum	Peptide Report									Filtered peptide report file																
file type enum	Unfiltered Metaproteomics Results									MSGFjobs and MASIC output file																
file type enum	Read Count and RPKM									Annotation read count and RPKM per feature JSON																
file type enum	QC non-rRNA R2									QC removed rRNA reads (R2) fastq																
file type enum	QC non-rRNA R1									QC removed rRNA reads (R1) fastq																
file type enum	Metagenome Bins									Metagenome bin contigs fasta																
file type enum	CheckM Statistics									CheckM statistics report																
file type enum	GOTTCHA2 Krona Plot									GOTTCHA2 krona plot HTML file																
file type enum	GOTTCHA2 Classification Report									GOTTCHA2 classification report file																
file type enum	GOTTCHA2 Report Full									GOTTCHA2 report file																
file type enum	Kraken2 Krona Plot									Kraken2 krona plot HTML file																
file type enum	Centrifuge Krona Plot									Centrifug krona plot HTML file																
file type enum	Centrifuge output report file									Centrifug output report file																
file type enum	Kraken2 Classification Report									Kraken2 output report file																
file type enum	Kraken2 Taxonomic Classification									Kraken2 output read classification file																
file type enum	Centrifuge Classification Report									Centrifuge output report file																
file type enum	Centrifuge Taxonomic Classification									Centrifuge output read classification file																
file type enum	Structural Annotation GFF									GFF3 format file with structural annotations																
file type enum	Functional Annotation GFF									GFF3 format file with functional annotations																
file type enum	Annotation Amino Acid FASTA									FASTA amino acid file for annotated proteins																
file type enum	Annotation Enzyme Commission									Tab delimited file for EC annotation																
file type enum	Annotation KEGG Orthology									Tab delimited file for KO annotation																
file type enum	Assembly Coverage BAM									Sorted bam file of reads mapping back to the final assembly																
file type enum	Assembly AGP									An AGP format file that describes the assembly																
file type enum	Assembly Scaffolds									Final assembly scaffolds fasta																
file type enum	Assembly Contigs									Final assembly contigs fasta																
file type enum	Assembly Coverage Stats									Assembled contigs coverage information																
file type enum	Filtered Sequencing Reads									Reads QC result fastq (clean data)																
file type enum	QC Statistics									Reads QC summary statistics																
file type enum	TIGRFam Annotation GFF									GFF3 format file with TIGRfam																[GOLD-AP]_tigrfam.gff
file type enum	CRT Annotation GFF									GFF3 format file with CRT																
file type enum	Genmark Annotation GFF									GFF3 format file with Genmark																
file type enum	Prodigal Annotation GFF									GFF3 format file with Prodigal																
file type enum	TRNA Annotation GFF									GFF3 format file with TRNA																
file type enum	Misc Annotation GFF									GFF3 format file with Misc																
file type enum	RFAM Annotation GFF									GFF3 format file with RFAM																
file type enum	TMRNA Annotation GFF									GFF3 format file with TMRNA																
file type enum	KO_EC Annotation GFF									GFF3 format file with KO_EC																
file type enum	Product Names									Product names file																
file type enum	Gene Phylogeny tsv									Gene Phylogeny tsv																
file type enum	Crisprt Terms									Crisprt Terms																
file type enum	Clusters of Orthologous Groups (COG) Annotation GFF									GFF3 format file with COGs																[GOLD-AP]_cog.gff
file type enum	CATH FunFams (Functional Families) Annotation GFF									GFF3 format file with CATH FunFams																[GOLD-AP]_cath_funfam.gff
file type enum	SUPERFam Annotation GFF									GFF3 format file with SUPERFam																[GOLD-AP]_supfam.gff
file type enum	SMART Annotation GFF									GFF3 format file with SMART																[GOLD-AP]_smart.gff
file type enum	Pfam Annotation GFF									GFF3 format file with Pfam																[GOLD-AP]_pfam.gff
file type enum	Direct Infusion FT ICR-MS Raw Data									Direct infusion 21 Tesla Fourier Transform ion cyclotron resonance mass spectrometry raw data acquired in broadband full scan mode																
credit enum						credit enums come from https://casrai.org/credit/							https://microbiomedata/schema													
credit enum	Conceptualization									Conceptualization																
credit enum	Data curation									Data curation																
credit enum	Formal Analysis									Formal Analysis																
credit enum	Funding acquisition									Funding acquisition																
credit enum	Investigation									Investigation																
credit enum	Methodology									Methodology																
credit enum	Project administration									Project administration																
credit enum	Resources									Resources																
credit enum	Software									Software																
credit enum	Supervision									Supervision																
credit enum	Validation									Validation																
credit enum	Visualization									Visualization																
credit enum	Writing original draft									Writing – original draft																
credit enum	Writing review and editing									Writing – review & editing																
credit enum	Principal Investigator	OBI:0000103								principal investigator role																
analysis_type_enum													https://microbiomedata/schema/sample_id													
analysis_type_enum	metabolomics																									
analysis_type_enum	metagenomics																									
analysis_type_enum	metaproteomics																									
analysis_type_enum	metatranscriptomics																									
analysis_type_enum	natural organic matter																									
