sc,p,l,su,u,count
https://w3id.org/nmdc/ChemicalConversionProcess,https://w3id.org/nmdc/duration,duration,,h,72
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/volume,volume,,mL,4088
https://w3id.org/nmdc/ChemicalConversionProcess,https://w3id.org/nmdc/temperature,temperature,,Cel,72
https://w3id.org/nmdc/MobilePhaseSegment,https://w3id.org/nmdc/duration,duration,,min,14
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/final_concentration,final_concentration,,%,29
https://w3id.org/nmdc/ChromatographyConfiguration,https://w3id.org/nmdc/temperature,temperature,,Cel,4
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/final_concentration,final_concentration,,umol/L,1
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/final_concentration,final_concentration,,mmol/L,4
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/source_concentration,source_concentration,,%,398
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/volume,volume,,uL,398
https://w3id.org/nmdc/PortionOfSubstance,https://w3id.org/nmdc/source_concentration,source_concentration,,mmol/L,747
https://w3id.org/nmdc/Extraction,https://w3id.org/nmdc/input_mass,input_mass,,g,2567
https://w3id.org/nmdc/Extraction,https://w3id.org/nmdc/temperature,temperature,,Cel,207
https://w3id.org/nmdc/SubSamplingProcess,https://w3id.org/nmdc/mass,mass,,g,625
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000310,carb_nitro_ratio,,1,1190
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000504,nitro,umol/L,%,919
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000508,org_carb,umol/L,%,1407
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000100,humidity,g/m3,%,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000112,solar_irradiance,erg/cm2/s|kW/m2/d,W/m2,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000118,wind_speed,km/h|m/s,m/s,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000122,abs_air_humidity,[lb_av]|g/g|kg|kg/kg,kPa,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000142,avg_temp,Cel,Cel,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000257,host_dry_mass,g|kg,g,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000264,host_height,cm|m|mm,cm,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000525,tot_carb,ug/L,%,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000530,tot_nitro_content,mg/L|ug/L|umol/L,%,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000725,photon_flux,,umol/m2/s,192
https://w3id.org/nmdc/Biosample,https://w3id.org/mixs/0000530,tot_nitro_content,mg/L|ug/L|umol/L,mg/L,1240
https://w3id.org/nmdc/Biosample,https://w3id.org/nmdc/ammonium_nitrogen,ammonium_nitrogen,mg/kg,mg/L,1239
