NMDC schema class	NMDC schema slot	NCBI postgres field name	static_value
Biosample	geo_loc_name	geo_loc_name	
Biosample	glucosidase_act	glucosidase_act	
Biosample	gold_biosample_identifiers		
Biosample	gravidity	gravidity	
Biosample	gravity	gravity	
Biosample	growth_facil	growth_facil	
Biosample	growth_habit	growth_habit	
Biosample	growth_hormone_regm	growth_hormone_regm	
Biosample	habitat		
Biosample	hall_count		
Biosample	handidness	handidness	
Biosample	hc_produced	hc_produced	
Biosample	hcr	hcr	
Biosample	hcr_fw_salinity		
Biosample	hcr_geol_age		
Biosample	hcr_pressure		
Biosample	hcr_temp	hcr_temp	
Biosample	heat_cool_type	heat_cool_type	
Biosample	heat_deliv_loc		
Biosample	heat_sys_deliv_meth		
Biosample	heat_system_id		
Biosample	heavy_metals	heavy_metals	
Biosample	heavy_metals_meth	heavy_metals_meth	
Biosample	height_carper_fiber		
Biosample	herbicide_regm	herbicide_regm	
Biosample	horizon_meth	horizon_meth	
Biosample	host_age	host_age	
Biosample	host_body_habitat	host_body_habitat	
Biosample	host_body_product	host_body_product	
Biosample	host_body_site		
Biosample	host_body_temp	host_body_temp	
Biosample	host_color	host_color	
Biosample	host_common_name	host_common_name	
Biosample	host_diet	host_diet	
Biosample	host_disease_stat		
Biosample	host_dry_mass	host_dry_mass	
Biosample	host_family_relation		
Biosample	host_genotype	host_genotype	
Biosample	host_growth_cond	host_growth_cond	
Biosample	host_height	host_height	
Biosample	host_last_meal	host_last_meal	
Biosample	host_length	host_length	
Biosample	host_life_stage	host_life_stage	
Biosample	host_name		
Biosample	host_phenotype	host_phenotype	
Biosample	host_sex	host_sex	
Biosample	host_shape	host_shape	
Biosample	host_subject_id	host_subject_id	
Biosample	host_subspecf_genlin	host_subspecf_genlin	
Biosample	host_substrate	host_substrate	
Biosample	host_symbiont	host_symbiont	
Biosample	host_taxid	host_taxid	
Biosample	host_tot_mass	host_tot_mass	
Biosample	host_wet_mass	host_wet_mass	
Biosample	humidity	humidity	
Biosample	humidity_regm	humidity_regm	
Biosample	id		
Biosample	igsn_biosample_identifiers		
Biosample	img_identifiers		
Biosample	indoor_space	indoor_space	
Biosample	indoor_surf	indoor_surf	
Biosample	indust_eff_percent	indust_eff_percent	
Biosample	infiltrations		
Biosample	inorg_particles	inorg_particles	
Biosample	insdc_biosample_identifiers		
Biosample	inside_lux		
Biosample	int_wall_cond		
Biosample	investigation field		
Biosample	isotope_exposure		
Biosample	iw_bt_date_well		
Biosample	iwf	iwf	
Biosample	last_clean		
Biosample	lat_lon	lat_lon	
Biosample	lbc_thirty		
Biosample	lbceq		
Biosample	light_intensity	light_intensity	
Biosample	light_regm	light_regm	
Biosample	light_type	light_type	
Biosample	link_addit_analys	link_addit_analys	
Biosample	link_class_info	link_class_info	
Biosample	link_climate_info	link_climate_info	
Biosample	lithology	lithology	
Biosample	local_class	local_class	
Biosample	local_class_meth	local_class_meth	
Biosample	location		
Biosample	magnesium	magnesium	
Biosample	manganese		
Biosample	max_occup		
Biosample	mean_frict_vel	mean_frict_vel	
Biosample	mean_peak_frict_vel	mean_peak_frict_vel	
Biosample	mech_struc		
Biosample	mechanical_damage	mechanical_damage	
Biosample	methane	methane	
Biosample	micro_biomass_c_meth		
Biosample	micro_biomass_meth		
Biosample	micro_biomass_n_meth		
Biosample	microbial_biomass	microbial_biomass	
Biosample	microbial_biomass_c		
Biosample	microbial_biomass_n		
Biosample	mineral_nutr_regm	mineral_nutr_regm	
Biosample	misc_param	misc_param	
Biosample	mod_date		
Biosample	n_alkanes	n_alkanes	
Biosample	name		
Biosample	ncbi_taxonomy_name		
Biosample	neon_biosample_identifiers		
Biosample	nitrate	nitrate	
Biosample	nitrate_nitrogen		
Biosample	nitrite	nitrite	
Biosample	nitrite_nitrogen		
Biosample	nitro	nitro	
Biosample	non_microb_biomass		
Biosample	non_microb_biomass_method		
Biosample	non_min_nutr_regm		
Biosample	nucl_acid_amp		
Biosample	nucl_acid_ext		
Biosample	nucleic acid sequence source field		
Biosample	number_pets	number_pets	
Biosample	number_plants		
