element_name	deprecation_count	from_schema	element_type
ProtocolCategoryEnum	0	https://w3id.org/nmdc/nmdc	enum
SampleStateEnum	0	https://w3id.org/nmdc/core	enum
SubmissionStatusEnum	0	https://w3id.org/nmdc/portal_enums	enum
YesNoEnum	0	https://w3id.org/nmdc/portal_enums	enum
freq_clean_enum	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	enum
organism_count_enum	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	enum
plant_growth_med_enum	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	enum
samp_md_enum	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	enum
biogas_retention_time	0	https://w3id.org/nmdc/nmdc	slot
biogas_temperature	0	https://w3id.org/nmdc/nmdc	slot
chemical_entity_set	1	https://w3id.org/nmdc/nmdc	slot
chemical_formula	0	https://w3id.org/nmdc/core	slot
chimera_check	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	slot
completion_date	0	https://w3id.org/nmdc/nmdc	slot
date_created	0	https://w3id.org/nmdc/nmdc	slot
dna_absorb2	0	https://w3id.org/nmdc/core	slot
ecosystem_path_id	0	https://w3id.org/nmdc/nmdc	slot
emsl_store_temp	0	https://w3id.org/nmdc/emsl	slot
etl_software_version	0	https://w3id.org/nmdc/nmdc	slot
inchi	1	https://w3id.org/nmdc/core	slot
inchi_key	1	https://w3id.org/nmdc/core	slot
input_volume	0	https://w3id.org/nmdc/nmdc	slot
insdc_analysis_identifiers	0	https://w3id.org/nmdc/external_identifiers	slot
insdc_secondary_sample_identifiers	0	https://w3id.org/nmdc/external_identifiers	slot
insdc_sra_ena_study_identifiers	0	https://w3id.org/nmdc/external_identifiers	slot
jgi_portal_analysis_project_identifiers	0	https://w3id.org/nmdc/external_identifiers	slot
material_component_separation	0	https://w3id.org/nmdc/nmdc	slot
mgnify_analysis_identifiers	0	https://w3id.org/nmdc/external_identifiers	slot
modifier_substance	0	https://w3id.org/nmdc/nmdc	slot
nucl_acid_ext	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	slot
object	0	https://w3id.org/nmdc/basic_classes	slot
ontology_class_set	0	https://w3id.org/nmdc/nmdc	slot
pool_dna_extracts	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	slot
predicate	0	https://w3id.org/nmdc/basic_classes	slot
samp_vol_we_dna_ext	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	slot
sample_collection_day	0	https://w3id.org/nmdc/nmdc	slot
sample_collection_hour	0	https://w3id.org/nmdc/nmdc	slot
sample_collection_minute	0	https://w3id.org/nmdc/nmdc	slot
sample_collection_month	0	https://w3id.org/nmdc/nmdc	slot
sample_collection_year	0	https://w3id.org/nmdc/nmdc	slot
seq_meth	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	slot
seq_quality_check	0	https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml	slot
smiles	1	https://w3id.org/nmdc/core	slot
soil_annual_season_temp	0	https://w3id.org/nmdc/nmdc	slot
value	0	https://w3id.org/nmdc/nmdc	slot
curie	0	https://w3id.org/linkml/types	type
date	0	https://w3id.org/linkml/types	type
date_or_datetime	0	https://w3id.org/linkml/types	type
datetime	0	https://w3id.org/linkml/types	type
jsonpath	0	https://w3id.org/linkml/types	type
jsonpointer	0	https://w3id.org/linkml/types	type
ncname	0	https://w3id.org/linkml/types	type
nodeidentifier	0	https://w3id.org/linkml/types	type
objectidentifier	0	https://w3id.org/linkml/types	type
sparqlpath	0	https://w3id.org/linkml/types	type
time	0	https://w3id.org/linkml/types	type
uri	0	https://w3id.org/linkml/types	type
