name	type	is_a	abstract	from_schema
extension	ClassDefinition			https://w3id.org/linkml/extensions
extension_tag	SlotDefinition			https://w3id.org/linkml/extensions
extension_value	SlotDefinition			https://w3id.org/linkml/extensions
extensions	SlotDefinition			https://w3id.org/linkml/extensions
extra_slots	SlotDefinition			https://w3id.org/linkml/meta
extra_slots_expression	ClassDefinition			https://w3id.org/linkml/meta
float	TypeDefinition			https://w3id.org/linkml/types
float16	TypeDefinition			https://w3id.org/linkml/extended_types
float32	TypeDefinition			https://w3id.org/linkml/extended_types
float64	TypeDefinition			https://w3id.org/linkml/extended_types
followed_by	SlotDefinition			https://w3id.org/linkml/meta
format	SlotDefinition			https://w3id.org/linkml/datasets
framework_key	SlotDefinition			https://w3id.org/linkml/meta
from_schema	SlotDefinition			https://w3id.org/linkml/meta
generation_date	SlotDefinition			https://w3id.org/linkml/meta
has_member	SlotDefinition	list_value_specification_constant		https://w3id.org/linkml/meta
has_quantity_kind	SlotDefinition			https://w3id.org/linkml/units
hash	SlotDefinition			https://w3id.org/linkml/datasets
header	SlotDefinition			https://w3id.org/linkml/datasets
id	SlotDefinition			https://w3id.org/linkml/datasets
id_prefixes	SlotDefinition			https://w3id.org/linkml/meta
id_prefixes_are_closed	SlotDefinition			https://w3id.org/linkml/meta
identifier	SlotDefinition			https://w3id.org/linkml/meta
identifier_pattern	SlotDefinition			https://w3id.org/linkml/meta
iec61360code	SlotDefinition			https://w3id.org/linkml/units
ifabsent	SlotDefinition			https://w3id.org/linkml/meta
implements	SlotDefinition			https://w3id.org/linkml/meta
implicit_prefix	SlotDefinition			https://w3id.org/linkml/meta
import_as	SlotDefinition			https://w3id.org/linkml/meta
import_expression	ClassDefinition			https://w3id.org/linkml/meta
import_from	SlotDefinition			https://w3id.org/linkml/meta
import_map	SlotDefinition			https://w3id.org/linkml/meta
imported_from	SlotDefinition			https://w3id.org/linkml/meta
imports	SlotDefinition			https://w3id.org/linkml/meta
in_language	SlotDefinition			https://w3id.org/linkml/meta
in_subset	SlotDefinition			https://w3id.org/linkml/meta
inapplicable	SlotDefinition			https://w3id.org/linkml/meta
include	SlotDefinition			https://w3id.org/linkml/meta
include_self	SlotDefinition			https://w3id.org/linkml/meta
info	SlotDefinition			https://w3id.org/linkml/reporting
inherited	SlotDefinition			https://w3id.org/linkml/meta
inherits	SlotDefinition			https://w3id.org/linkml/meta
inlined	SlotDefinition			https://w3id.org/linkml/meta
inlined_as_list	SlotDefinition			https://w3id.org/linkml/meta
inlined_as_simple_dict	SlotDefinition			https://w3id.org/linkml/meta
instantiates	SlotDefinition			https://w3id.org/linkml/reporting
int16	TypeDefinition			https://w3id.org/linkml/extended_types
int32	TypeDefinition			https://w3id.org/linkml/extended_types
int64	TypeDefinition			https://w3id.org/linkml/extended_types
int8	TypeDefinition			https://w3id.org/linkml/extended_types
integer	TypeDefinition			https://w3id.org/linkml/types
interpolated	SlotDefinition			https://w3id.org/linkml/meta
inverse	SlotDefinition			https://w3id.org/linkml/meta
irreflexive	SlotDefinition	relational_logical_characteristic		https://w3id.org/linkml/meta
is_a	SlotDefinition		True	https://w3id.org/linkml/meta
is_class_field	SlotDefinition			https://w3id.org/linkml/meta
is_direct	SlotDefinition			https://w3id.org/linkml/meta
is_grouping_slot	SlotDefinition			https://w3id.org/linkml/meta
is_usage_slot	SlotDefinition			https://w3id.org/linkml/meta
issued	SlotDefinition			https://w3id.org/linkml/datasets
jsonpath	TypeDefinition			https://w3id.org/linkml/types
jsonpointer	TypeDefinition			https://w3id.org/linkml/types
key	SlotDefinition			https://w3id.org/linkml/meta
keywords	SlotDefinition			https://w3id.org/linkml/datasets
language	SlotDefinition			https://w3id.org/linkml/datasets
last_updated_on	SlotDefinition			https://w3id.org/linkml/datasets
length	SlotDefinition			https://w3id.org/linkml/lib/arrays
license	SlotDefinition			https://w3id.org/linkml/datasets
list_elements_ordered	SlotDefinition			https://w3id.org/linkml/meta
list_elements_unique	SlotDefinition			https://w3id.org/linkml/meta
list_value_specification_constant	SlotDefinition		True	https://w3id.org/linkml/meta
literal_form	SlotDefinition			https://w3id.org/linkml/meta
local_name	ClassDefinition			https://w3id.org/linkml/meta
local_name_source	SlotDefinition			https://w3id.org/linkml/meta
local_name_value	SlotDefinition			https://w3id.org/linkml/meta
local_names	SlotDefinition			https://w3id.org/linkml/meta
locally_reflexive	SlotDefinition	relational_logical_characteristic		https://w3id.org/linkml/meta
mapped_type	SlotDefinition			https://w3id.org/linkml/meta
mappings	SlotDefinition			https://w3id.org/linkml/mappings
match_query	ClassDefinition			https://w3id.org/linkml/meta
matches	SlotDefinition			https://w3id.org/linkml/meta
maximum_cardinality	SlotDefinition	list_value_specification_constant		https://w3id.org/linkml/meta
maximum_number_dimensions	SlotDefinition			https://w3id.org/linkml/meta
maximum_value	SlotDefinition			https://w3id.org/linkml/meta
md5	SlotDefinition	hash		https://w3id.org/linkml/datasets
meaning	SlotDefinition			https://w3id.org/linkml/meta
media_type	SlotDefinition			https://w3id.org/linkml/datasets
metamodel_version	SlotDefinition			https://w3id.org/linkml/meta
minimum_cardinality	SlotDefinition	list_value_specification_constant		https://w3id.org/linkml/meta
minimum_number_dimensions	SlotDefinition			https://w3id.org/linkml/meta
