name	type	is_a	abstract	from_schema
AnalysisTypeEnum	EnumDefinition			https://w3id.org/nmdc/portal_enums
AnnotatingWorkflow	ClassDefinition	WorkflowExecution	True	https://w3id.org/nmdc/core
AttributeValue	ClassDefinition		True	https://w3id.org/nmdc/attribute_values
BinQualityEnum	EnumDefinition			https://w3id.org/nmdc/core
Biosample	ClassDefinition	Sample		https://w3id.org/nmdc/core
BiosampleCategoryEnum	EnumDefinition			https://w3id.org/nmdc/core
CalibrationInformation	ClassDefinition	InformationObject		https://w3id.org/nmdc/nmdc
CalibrationStandardEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
CalibrationTargetEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ChemicalConversionCategoryEnum	EnumDefinition			https://w3id.org/nmdc/core
ChemicalConversionProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/core
ChemicalEntityEnum	EnumDefinition			https://w3id.org/nmdc/core
ChromatographicCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ChromatographicSeparationProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
ChromatographyConfiguration	ClassDefinition	Configuration		https://w3id.org/nmdc/nmdc
CollectingBiosamplesFromSite	ClassDefinition	PlannedProcess		https://w3id.org/nmdc/nmdc
Configuration	ClassDefinition	InformationObject	True	https://w3id.org/nmdc/nmdc
ContainerCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ControlledIdentifiedTermValue	ClassDefinition	ControlledTermValue		https://w3id.org/nmdc/attribute_values
ControlledTermValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/attribute_values
CreditAssociation	ClassDefinition			https://w3id.org/nmdc/basic_classes
CreditEnum	EnumDefinition			https://w3id.org/nmdc/basic_classes
DataCategoryEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
DataEmitterProcess	ClassDefinition	PlannedProcess	True	https://w3id.org/nmdc/basic_classes
DataGeneration	ClassDefinition	DataEmitterProcess	True	https://w3id.org/nmdc/basic_classes
DataObject	ClassDefinition	InformationObject		https://w3id.org/nmdc/basic_classes
Database	ClassDefinition			https://w3id.org/nmdc/nmdc
DissolvingProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
Doi	ClassDefinition			https://w3id.org/nmdc/basic_classes
DoiCategoryEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
DoiProviderEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
EluentIntroductionCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
EnvironmentalMaterialTerm	ClassDefinition	OntologyClass		https://w3id.org/nmdc/core
EukEval	ClassDefinition			https://w3id.org/nmdc/nmdc
ExecutionResourceEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
Extraction	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
ExtractionTargetEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
FailureCategorization	ClassDefinition			https://w3id.org/nmdc/basic_classes
FailureWhatEnum	EnumDefinition			https://w3id.org/nmdc/basic_classes
FailureWhereEnum	EnumDefinition			https://w3id.org/nmdc/basic_classes
FieldResearchSite	ClassDefinition	Site		https://w3id.org/nmdc/core
FileTypeEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
FiltrationProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
FunctionalAnnotation	ClassDefinition			https://w3id.org/nmdc/annotation
FunctionalAnnotationAggMember	ClassDefinition			https://w3id.org/nmdc/nmdc
FunctionalAnnotationTerm	ClassDefinition	OntologyClass	True	https://w3id.org/nmdc/annotation
GeneProduct	ClassDefinition	NamedThing		https://w3id.org/nmdc/core
GenomeFeature	ClassDefinition			https://w3id.org/nmdc/annotation
GeolocationValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/attribute_values
ImageValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/attribute_values
InformationObject	ClassDefinition	NamedThing	True	https://w3id.org/nmdc/basic_classes
Instrument	ClassDefinition	MaterialEntity		https://w3id.org/nmdc/basic_classes
InstrumentModelEnum	EnumDefinition			https://w3id.org/nmdc/basic_classes
InstrumentVendorEnum	EnumDefinition			https://w3id.org/nmdc/basic_classes
IonizationSourceEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
LibraryPreparation	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
LibraryTypeEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MagBin	ClassDefinition			https://w3id.org/nmdc/core
MagsAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/workflow_execution_activity
Manifest	ClassDefinition	InformationObject		https://w3id.org/nmdc/nmdc
ManifestCategoryEnum	EnumDefinition			https://w3id.org/nmdc/basic_classes
MassAnalyzerEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MassSpectrometry	ClassDefinition	DataGeneration		https://w3id.org/nmdc/nmdc
MassSpectrometryAcquisitionStrategyEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MassSpectrometryConfiguration	ClassDefinition	Configuration		https://w3id.org/nmdc/nmdc
MassSpectrometryEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
MassSpectrumCollectionModeEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MaterialEntity	ClassDefinition	NamedThing	True	https://w3id.org/nmdc/basic_classes
MaterialProcessing	ClassDefinition	PlannedProcess	True	https://w3id.org/nmdc/core
MetaboliteIdentification	ClassDefinition			https://w3id.org/nmdc/core
MetabolomicsAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/workflow_execution_activity
MetabolomicsAnalysisCategoryEnum	EnumDefinition			https://w3id.org/nmdc/workflow_execution_activity
MetagenomeAnnotation	ClassDefinition	AnnotatingWorkflow		https://w3id.org/nmdc/core
MetagenomeAssembly	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/workflow_execution_activity
MetaproteomicsAnalysis	ClassDefinition	AnnotatingWorkflow		https://w3id.org/nmdc/workflow_execution_activity
MetaproteomicsAnalysisCategoryEnum	EnumDefinition			https://w3id.org/nmdc/workflow_execution_activity
MetatranscriptomeAnnotation	ClassDefinition	AnnotatingWorkflow		https://w3id.org/nmdc/workflow_execution_activity
MetatranscriptomeAssembly	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/workflow_execution_activity
MetatranscriptomeExpressionAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/workflow_execution_activity
MixingProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
MobilePhaseSegment	ClassDefinition			https://w3id.org/nmdc/core
NamedThing	ClassDefinition		True	https://w3id.org/nmdc/basic_classes
NomAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/workflow_execution_activity
NucleotideSequencing	ClassDefinition	DataGeneration		https://w3id.org/nmdc/nmdc
NucleotideSequencingEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
OntologyClass	ClassDefinition	NamedThing		https://w3id.org/nmdc/basic_classes
OntologyRelation	ClassDefinition			https://w3id.org/nmdc/basic_classes
OrthologyGroup	ClassDefinition	FunctionalAnnotationTerm		https://w3id.org/nmdc/annotation
Pathway	ClassDefinition	FunctionalAnnotationTerm		https://w3id.org/nmdc/annotation
PersonValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/attribute_values
PlannedProcess	ClassDefinition	NamedThing	True	https://w3id.org/nmdc/basic_classes
PolarityModeEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
Pooling	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
PortionOfSubstance	ClassDefinition			https://w3id.org/nmdc/core
ProcessedSample	ClassDefinition	Sample		https://w3id.org/nmdc/core
ProcessingInstitutionEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
PropertyAssertion	ClassDefinition	AttributeValue		https://w3id.org/nmdc/attribute_values
Protocol	ClassDefinition			https://w3id.org/nmdc/basic_classes
ProtocolCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ProtocolForEnum	EnumDefinition			https://w3id.org/nmdc/basic_classes
QuantityValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/attribute_values
ReadBasedTaxonomyAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/workflow_execution_activity
ReadQcAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/workflow_execution_activity
ResolutionCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
Sample	ClassDefinition	MaterialEntity	True	https://w3id.org/nmdc/core
SamplePortionEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
SampleStateEnum	EnumDefinition			https://w3id.org/nmdc/core
SampleTypeEnum	EnumDefinition			https://w3id.org/nmdc/portal_enums
SeparationMethodEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
Site	ClassDefinition	MaterialEntity	True	https://w3id.org/nmdc/core
StationaryPhaseEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
StatusEnum	EnumDefinition			https://w3id.org/nmdc/basic_slots
StorageProcess	ClassDefinition	PlannedProcess		https://w3id.org/nmdc/nmdc
StrandedOrientationEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
Study	ClassDefinition	NamedThing		https://w3id.org/nmdc/basic_classes
StudyCategoryEnum	EnumDefinition			https://w3id.org/nmdc/basic_classes
SubSamplingProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
SubmissionStatusEnum	EnumDefinition			https://w3id.org/nmdc/portal_enums
SubstanceRoleEnum	EnumDefinition			https://w3id.org/nmdc/core
TargetGeneEnum	EnumDefinition			https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
TextValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/attribute_values
TimestampValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/attribute_values
UnitEnum	EnumDefinition			https://w3id.org/nmdc/attribute_values
WorkflowExecution	ClassDefinition	DataEmitterProcess	True	https://w3id.org/nmdc/basic_classes
YesNoEnum	EnumDefinition			https://w3id.org/nmdc/portal_enums
abs_air_humidity	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
add_date	SlotDefinition			https://w3id.org/nmdc/basic_slots
add_recov_method	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
additional_info	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
address	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
adj_room	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
aero_struc	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
agrochem_addition	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
air_PM_concen	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
air_temp	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
air_temp_regm	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
al_sat	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
al_sat_meth	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
alkalinity	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
alkalinity_method	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
alkyl_diethers	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
alt	SlotDefinition	environment field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
alternative_descriptions	SlotDefinition			https://w3id.org/nmdc/basic_slots
alternative_identifiers	SlotDefinition			https://w3id.org/nmdc/basic_slots
alternative_names	SlotDefinition			https://w3id.org/nmdc/basic_slots
alternative_titles	SlotDefinition			https://w3id.org/nmdc/basic_slots
aminopept_act	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
ammonium	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
ammonium_nitrogen	SlotDefinition			https://w3id.org/nmdc/core
amount_light	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
analysis_identifiers	SlotDefinition	external_database_identifiers	True	https://w3id.org/nmdc/external_identifiers
analysis_type	SlotDefinition			https://w3id.org/nmdc/portal/sample_id
analyte_category	SlotDefinition			https://w3id.org/nmdc/basic_slots
ances_data	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
annual_precpt	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
annual_temp	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
antibiotic_regm	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
api	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
applied_roles	SlotDefinition			https://w3id.org/nmdc/basic_classes
applies_to_person	SlotDefinition			https://w3id.org/nmdc/basic_classes
arch_struc	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
arch_struc_enum	EnumDefinition			https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
aromatics_pc	SlotDefinition	core field		https://raw.githubusercontent.com/microbiomedata/nmdc-schema/main/src/schema/mixs.yaml
asm_score	SlotDefinition	metagenome_assembly_parameter		https://w3id.org/nmdc/workflow_execution_activity
