filename	key	count	classification
nmdc_materialized_patterns.yaml	Contaminants Amino Acid FASTA	1	application
nmdc_materialized_patterns.yaml	Contig Mapping File	1	application
nmdc_materialized_patterns.yaml	Continental - Aeolian	1	application
nmdc_materialized_patterns.yaml	Continental - Alluvial	1	application
nmdc_materialized_patterns.yaml	Continental - Fluvial	1	application
nmdc_materialized_patterns.yaml	Continental - Lacustrine	1	application
nmdc_materialized_patterns.yaml	ControlledIdentifiedTermValue	1	application
nmdc_materialized_patterns.yaml	ControlledTermValue	1	application
nmdc_materialized_patterns.yaml	CreditAssociation	1	application
nmdc_materialized_patterns.yaml	CreditEnum	1	application
nmdc_materialized_patterns.yaml	Cretaceous	2	application
nmdc_materialized_patterns.yaml	Crispr Terms	1	application
nmdc_materialized_patterns.yaml	DF	1	application
nmdc_materialized_patterns.yaml	DNA	2	application
nmdc_materialized_patterns.yaml	DRUGBANK	1	application
nmdc_materialized_patterns.yaml	Daily	1	application
nmdc_materialized_patterns.yaml	Data curation	1	application
nmdc_materialized_patterns.yaml	DataCategoryEnum	1	application
nmdc_materialized_patterns.yaml	DataEmitterProcess	1	application
nmdc_materialized_patterns.yaml	DataGeneration	1	application
nmdc_materialized_patterns.yaml	DataObject	1	application
nmdc_materialized_patterns.yaml	Database	1	application
nmdc_materialized_patterns.yaml	Denied	1	application
nmdc_materialized_patterns.yaml	Devonian	2	application
nmdc_materialized_patterns.yaml	Diatomite	1	application
nmdc_materialized_patterns.yaml	Dichogamous	1	application
nmdc_materialized_patterns.yaml	Diclinous	1	application
nmdc_materialized_patterns.yaml	Dioecious	1	application
nmdc_materialized_patterns.yaml	Diol	1	application
nmdc_materialized_patterns.yaml	Direct Infusion FT ICR-MS Raw Data	1	application
nmdc_materialized_patterns.yaml	Direct Infusion FT-ICR MS Analysis Results	1	application
nmdc_materialized_patterns.yaml	Direct Infusion FT-ICR MS QC Plots	1	application
nmdc_materialized_patterns.yaml	DissolvingProcess	1	application
nmdc_materialized_patterns.yaml	Doi	1	application
nmdc_materialized_patterns.yaml	DoiCategoryEnum	1	application
nmdc_materialized_patterns.yaml	DoiProviderEnum	1	application
nmdc_materialized_patterns.yaml	Dolomite	1	application
nmdc_materialized_patterns.yaml	E horizon	1	application
nmdc_materialized_patterns.yaml	EC	1	application
nmdc_materialized_patterns.yaml	EFO	1	application
nmdc_materialized_patterns.yaml	EGGNOG	1	application
nmdc_materialized_patterns.yaml	EMSL	1	application
nmdc_materialized_patterns.yaml	EMSL-RZR	1	application
nmdc_materialized_patterns.yaml	EMSL-Tahoma	1	application
nmdc_materialized_patterns.yaml	ENVO	1	application
nmdc_materialized_patterns.yaml	East side	1	application
nmdc_materialized_patterns.yaml	EluentIntroductionCategoryEnum	1	application
nmdc_materialized_patterns.yaml	EnvironmentalMaterialTerm	1	application
nmdc_materialized_patterns.yaml	Error Corrected Reads	1	application
nmdc_materialized_patterns.yaml	EukEval	1	application
nmdc_materialized_patterns.yaml	ExecutionResourceEnum	1	application
nmdc_materialized_patterns.yaml	Extraction	2	application
nmdc_materialized_patterns.yaml	ExtractionTargetEnum	1	application
