name	type	is_a	abstract
is_grouping_slot	SlotDefinition		
is_usage_slot	SlotDefinition		
issued	SlotDefinition		
jsonpath	TypeDefinition		
jsonpointer	TypeDefinition		
key	SlotDefinition		
keywords	SlotDefinition		
language	SlotDefinition		
last_updated_on	SlotDefinition		
length	SlotDefinition		
license	SlotDefinition		
list_elements_ordered	SlotDefinition		
list_elements_unique	SlotDefinition		
list_value_specification_constant	SlotDefinition		True
literal_form	SlotDefinition		
local_name	ClassDefinition		
local_name_source	SlotDefinition		
local_name_value	SlotDefinition		
local_names	SlotDefinition		
locally_reflexive	SlotDefinition	relational_logical_characteristic	
mapped_type	SlotDefinition		
mappings	SlotDefinition		
match_query	ClassDefinition		
matches	SlotDefinition		
maximum_cardinality	SlotDefinition	list_value_specification_constant	
maximum_number_dimensions	SlotDefinition		
maximum_value	SlotDefinition		
md5	SlotDefinition	hash	
meaning	SlotDefinition		
media_type	SlotDefinition		
metamodel_version	SlotDefinition		
minimum_cardinality	SlotDefinition	list_value_specification_constant	
minimum_number_dimensions	SlotDefinition		
minimum_value	SlotDefinition		
minus	SlotDefinition		
mixin	SlotDefinition		
mixins	SlotDefinition		
modified_by	SlotDefinition		
multivalued	SlotDefinition		
name	SlotDefinition		
narrow mappings	SlotDefinition	mappings	
ncname	TypeDefinition		
node_source	SlotDefinition		
nodeidentifier	TypeDefinition		
none_of	SlotDefinition	boolean_slot	
notes	SlotDefinition		
object	SlotDefinition		
object_str	SlotDefinition		
objectidentifier	TypeDefinition		
obligation_level	SlotDefinition		
obligation_level_enum	EnumDefinition		
open_world	SlotDefinition		
operation_parameters	SlotDefinition		
owned_by	SlotDefinition		
owner	SlotDefinition		
page	SlotDefinition		
partial_match	SlotDefinition		
path	SlotDefinition		
path_expression	ClassDefinition		
path_rule	SlotDefinition		
pattern	SlotDefinition		
pattern_expression	ClassDefinition		
permissible_value	ClassDefinition		
permissible_values	SlotDefinition		
postconditions	SlotDefinition		
preconditions	SlotDefinition		
predicate	SlotDefinition		
prefix	ClassDefinition		
prefix_prefix	SlotDefinition		
prefix_reference	SlotDefinition		
prefixes	SlotDefinition		
presence_enum	EnumDefinition		
problem_type	EnumDefinition		
profile	SlotDefinition		
publisher	SlotDefinition		
pv_formula	SlotDefinition		
pv_formula_options	EnumDefinition		
quote_char	SlotDefinition		
range	SlotDefinition		
range_expression	SlotDefinition		
rank	SlotDefinition		
reachability_query	ClassDefinition		
reachable_from	SlotDefinition		
readonly	SlotDefinition		
recommended	SlotDefinition		
reflexive	SlotDefinition	relational_logical_characteristic	
reflexive_transitive_form_of	SlotDefinition	transitive_form_of	
related mappings	SlotDefinition	mappings	
relational_logical_characteristic	SlotDefinition		True
relational_role	SlotDefinition		
relational_role_enum	EnumDefinition		
relationship_types	SlotDefinition		
repr	SlotDefinition		
represents_relationship	SlotDefinition		
required	SlotDefinition		
resources	SlotDefinition		
results	SlotDefinition		
reversed	SlotDefinition		
role	SlotDefinition		
rules	SlotDefinition		
schema_definition	ClassDefinition	element	
see_also	SlotDefinition		
series_label	SlotDefinition		
setting	ClassDefinition		
setting_key	SlotDefinition		
