name	type	is_a	abstract	from_schema
AnalysisTypeEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
AnnotatingWorkflow	ClassDefinition	WorkflowExecution	True	https://w3id.org/nmdc/nmdc
AttributeValue	ClassDefinition		True	https://w3id.org/nmdc/nmdc
BinQualityEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
Biosample	ClassDefinition	Sample		https://w3id.org/nmdc/nmdc
BiosampleCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
CalibrationInformation	ClassDefinition	InformationObject		https://w3id.org/nmdc/nmdc
CalibrationStandardEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
CalibrationTargetEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ChemicalConversionCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ChemicalConversionProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
ChemicalEntity	ClassDefinition	OntologyClass		https://w3id.org/nmdc/nmdc
ChemicalEntityEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ChromatographicCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ChromatographicSeparationProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
ChromatographyConfiguration	ClassDefinition	Configuration		https://w3id.org/nmdc/nmdc
CollectingBiosamplesFromSite	ClassDefinition	PlannedProcess		https://w3id.org/nmdc/nmdc
Configuration	ClassDefinition	InformationObject	True	https://w3id.org/nmdc/nmdc
ContainerCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
ControlledIdentifiedTermValue	ClassDefinition	ControlledTermValue		https://w3id.org/nmdc/nmdc
ControlledTermValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/nmdc
CreditAssociation	ClassDefinition			https://w3id.org/nmdc/nmdc
CreditEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
DataCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
DataEmitterProcess	ClassDefinition	PlannedProcess	True	https://w3id.org/nmdc/nmdc
DataGeneration	ClassDefinition	DataEmitterProcess	True	https://w3id.org/nmdc/nmdc
DataObject	ClassDefinition	InformationObject		https://w3id.org/nmdc/nmdc
Database	ClassDefinition			https://w3id.org/nmdc/nmdc
DissolvingProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
Doi	ClassDefinition			https://w3id.org/nmdc/nmdc
DoiCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
DoiProviderEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
EluentIntroductionCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
EnvironmentalMaterialTerm	ClassDefinition	OntologyClass		https://w3id.org/nmdc/nmdc
EukEval	ClassDefinition			https://w3id.org/nmdc/nmdc
ExecutionResourceEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
Extraction	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
ExtractionTargetEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
FailureCategorization	ClassDefinition			https://w3id.org/nmdc/nmdc
FailureWhatEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
FailureWhereEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
FieldResearchSite	ClassDefinition	Site		https://w3id.org/nmdc/nmdc
FileTypeEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
FiltrationProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
FunctionalAnnotation	ClassDefinition			https://w3id.org/nmdc/nmdc
FunctionalAnnotationAggMember	ClassDefinition			https://w3id.org/nmdc/nmdc
FunctionalAnnotationTerm	ClassDefinition	OntologyClass	True	https://w3id.org/nmdc/nmdc
GeneProduct	ClassDefinition	NamedThing		https://w3id.org/nmdc/nmdc
GenomeFeature	ClassDefinition			https://w3id.org/nmdc/nmdc
GeolocationValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/nmdc
ImageValue	ClassDefinition	AttributeValue		https://w3id.org/nmdc/nmdc
InformationObject	ClassDefinition	NamedThing	True	https://w3id.org/nmdc/nmdc
Instrument	ClassDefinition	MaterialEntity		https://w3id.org/nmdc/nmdc
InstrumentModelEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
InstrumentVendorEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
IonizationSourceEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
LibraryPreparation	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
LibraryTypeEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MagBin	ClassDefinition			https://w3id.org/nmdc/nmdc
MagsAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/nmdc
Manifest	ClassDefinition	InformationObject		https://w3id.org/nmdc/nmdc
ManifestCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MassAnalyzerEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MassSpectrometry	ClassDefinition	DataGeneration		https://w3id.org/nmdc/nmdc
MassSpectrometryAcquisitionStrategyEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MassSpectrometryConfiguration	ClassDefinition	Configuration		https://w3id.org/nmdc/nmdc
MassSpectrometryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MassSpectrumCollectionModeEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MaterialEntity	ClassDefinition	NamedThing	True	https://w3id.org/nmdc/nmdc
MaterialProcessing	ClassDefinition	PlannedProcess	True	https://w3id.org/nmdc/nmdc
MetaboliteIdentification	ClassDefinition			https://w3id.org/nmdc/nmdc
MetabolomicsAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/nmdc
MetabolomicsAnalysisCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MetagenomeAnnotation	ClassDefinition	AnnotatingWorkflow		https://w3id.org/nmdc/nmdc
MetagenomeAssembly	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/nmdc
MetaproteomicsAnalysis	ClassDefinition	AnnotatingWorkflow		https://w3id.org/nmdc/nmdc
MetaproteomicsAnalysisCategoryEnum	EnumDefinition			https://w3id.org/nmdc/nmdc
MetatranscriptomeAnnotation	ClassDefinition	AnnotatingWorkflow		https://w3id.org/nmdc/nmdc
MetatranscriptomeAssembly	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/nmdc
MetatranscriptomeExpressionAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/nmdc
MixingProcess	ClassDefinition	MaterialProcessing		https://w3id.org/nmdc/nmdc
MobilePhaseSegment	ClassDefinition			https://w3id.org/nmdc/nmdc
NamedThing	ClassDefinition		True	https://w3id.org/nmdc/nmdc
NomAnalysis	ClassDefinition	WorkflowExecution		https://w3id.org/nmdc/nmdc
NucleotideSequencing	ClassDefinition	DataGeneration		https://w3id.org/nmdc/nmdc
