GOLD SeqMethod	NMDC instrument_set id
Illumina HiSeq	nmdc:inst-14-79zxap02
Illumina HiSeq 2500	nmdc:inst-14-nn4b6k72
Illumina HiSeq 2500-1TB	nmdc:inst-14-nn4b6k72
Illumina HiSeq 2500-Rapid	nmdc:inst-14-nn4b6k72
Illumina NextSeq 550	nmdc:inst-14-xz5tb342
Illumina NovaSeq	nmdc:inst-14-xx07be40
Illumina NovaSeq 6000	nmdc:inst-14-mr4r2w09
Illumina NovaSeq S2	nmdc:inst-14-mr4r2w09
Illumina NovaSeq S4	nmdc:inst-14-mr4r2w09
Illumina NovaSeq SP	nmdc:inst-14-mr4r2w09
