slot	from_schema	range	see_also	slot_uri	source
abs_air_humidity	https://microbiomedata/schema/mixs	quantity value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000122	http://w3id.org/mixs/terms
add_recov_method	https://microbiomedata/schema/mixs	text value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0001009	http://w3id.org/mixs/terms
additional_info	https://microbiomedata/schema/mixs	text value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000300	http://w3id.org/mixs/terms
address	https://microbiomedata/schema/mixs	text value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000218	http://w3id.org/mixs/terms
adj_room	https://microbiomedata/schema/mixs	text value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000219	http://w3id.org/mixs/terms
aero_struc	https://microbiomedata/schema/mixs	text value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000773	http://w3id.org/mixs/terms
agrochem_addition	https://microbiomedata/schema/mixs	quantity value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000639	http://w3id.org/mixs/terms
air_temp	https://microbiomedata/schema/mixs	quantity value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000124	http://w3id.org/mixs/terms
air_temp_regm	https://microbiomedata/schema/mixs	quantity value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000551	http://w3id.org/mixs/terms
al_sat	https://microbiomedata/schema/mixs	quantity value	https://github.com/microbiomedata/nmdc-schema/blob/issue-291-mixs-submod/util/rebuild_mixs_yaml.py	MIXS:0000607	http://w3id.org/mixs/terms
