#license: https://creativecommons.org/publicdomain/zero/1.0/
#mapping_date: 2020-06-36
#mapping_provider: https://microbiomedata.org/									
#creator_label:									
#  - Jagadish Sundaramurthi									
#  - Bill Duncan									
#curie_map:									
#  gold.vocab: "https://microbiomedata/schema/ddl/"									
#  mixs: "https://microbiomedata/schema/mixs#"									
#  skos: "http://www.w3.org/2004/02/skos/core#"									
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	confidence	comment
gold.vocab:altitude	altitude	skos:exactMatch	mixs:alt	alt	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:growth_temperature	growth_temperature	skos:exactMatch	mixs:temp	temp	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:salinity_concentration	salinity_concentration	skos:exactMatch	mixs:salinity	salinity	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:oxygen_concentration	oxygen_concentration	skos:exactMatch	mixs:diss_oxygen	diss_oxygen	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:ph	ph	skos:exactMatch	mixs:ph	ph	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:geographic_location	geographic_location	skos:exactMatch	mixs:geo_loc_name	geo_loc_name	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:nitrate_concentration	nitrate_concentration	skos:exactMatch	mixs:nitrate	nitrate	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:chlorophyll_concentration	chlorophyll_concentration	skos:exactMatch	mixs:chlorophyll	chlorophyll	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:sample_volume	sample_volume	skos:exactMatch	mixs:samp_vol_we_dna_ext	samp_vol_we_dna_ext	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:sampling_strategy	sampling_strategy	skos:exactMatch	mixs:samp_collect_device	samp_collect_device	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_curr_land_use	soil_curr_land_use	skos:exactMatch	mixs:cur_land_use	cur_land_use	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_curr_vegetation	soil_curr_vegetation	skos:exactMatch	mixs:cur_vegetation	cur_vegetation	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_curr_vegetation_method	soil_curr_vegetation_method	skos:exactMatch	mixs:cur_vegetation_meth	cur_vegetation_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_prev_land_use	soil_prev_land_use	skos:exactMatch	mixs:previous_land_use	previous_land_use	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_prev_land_use_meth	soil_prev_land_use_meth	skos:exactMatch	mixs:previous_land_use_meth	previous_land_use_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_crop_rotation	soil_crop_rotation	skos:exactMatch	mixs:crop_rotation	crop_rotation	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_agrochem_addition	soil_agrochem_addition	skos:exactMatch	mixs:agrochem_addition	agrochem_addition	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_tillage	soil_tillage	skos:exactMatch	mixs:tillage	tillage	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_fire	soil_fire	skos:exactMatch	mixs:fire	fire	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_flooding	soil_flooding	skos:exactMatch	mixs:flooding	flooding	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_extreme_event	soil_extreme_event	skos:exactMatch	mixs:extreme_event	extreme_event	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_horizon	soil_horizon	skos:exactMatch	mixs:horizon	horizon	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_horizon_method	soil_horizon_method	skos:exactMatch	mixs:horizon_meth	horizon_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_seiving	soil_seiving	skos:exactMatch	mixs:sieving	sieving	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_water_content	soil_water_content	skos:exactMatch	mixs:water_content	water_content	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_water_content_soil_meth	soil_water_content_soil_meth	skos:exactMatch	mixs:water_content_soil_meth	water_content_soil_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:sample_weight_dna_ext	sample_weight_dna_ext	skos:exactMatch	mixs:samp_vol_we_dna_ext	samp_vol_we_dna_ext	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_sample_weight_dna_ext	soil_sample_weight_dna_ext	skos:exactMatch	mixs:samp_vol_we_dna_ext	samp_vol_we_dna_ext	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:water_sample_weight_dna_ext	water_sample_weight_dna_ext	skos:exactMatch	mixs:samp_vol_we_dna_ext	samp_vol_we_dna_ext	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_pool_dna_extracts	soil_pool_dna_extracts	skos:exactMatch	mixs:pool_dna_extracts	pool_dna_extracts	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_store_condition	soil_store_condition	skos:exactMatch	mixs:store_cond	store_cond	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_link_climate_info	soil_link_climate_info	skos:exactMatch	mixs:link_climate_info	link_climate_info	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_annual_season_temp	soil_annual_season_temp	skos:closeMatch	mixs:annual_temp	annual_temp	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_annual_season_temp	soil_annual_season_temp	skos:closeMatch	mixs:season_temp	season_temp	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_annual_season_precpt	soil_annual_season_precpt	skos:closeMatch	mixs:season_precpt	season_precpt	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_annual_season_precpt	soil_annual_season_precpt	skos:closeMatch	mixs:annual_precpt	annual_precpt	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_link_class_info	soil_link_class_info	skos:exactMatch	mixs:link_class_info	link_class_info	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_fao_class	soil_fao_class	skos:exactMatch	mixs:fao_class	fao_class	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_local_class	soil_local_class	skos:exactMatch	mixs:local_class	local_class	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_local_class_method	soil_local_class_method	skos:exactMatch	mixs:local_class_meth	local_class_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_type	soil_type	skos:exactMatch	mixs:soil_type	soil_type	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_type_method	soil_type_method	skos:exactMatch	mixs:soil_type_meth	soil_type_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_slope_gradient	soil_slope_gradient	skos:exactMatch	mixs:slope_gradient	slope_gradient	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_slope_aspect	soil_slope_aspect	skos:exactMatch	mixs:slope_aspect	slope_aspect	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_profile_position	soil_profile_position	skos:exactMatch	mixs:profile_position	profile_position	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_drainage_class	soil_drainage_class	skos:exactMatch	mixs:drainage_class	drainage_class	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_texture	soil_texture	skos:exactMatch	mixs:texture	texture	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_texture_method	soil_texture_method	skos:exactMatch	mixs:texture_meth	texture_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_ph	soil_ph	skos:exactMatch	mixs:ph	ph	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_ph_method	soil_ph_method	skos:exactMatch	mixs:ph_meth	ph_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
gold.vocab:soil_tot_org_carbon	soil_tot_org_carbon	skos:exactMatch	mixs:tot_org_carb	tot_org_carb	SSSOMC:HumanCurated	gold.vocab	mixs	1	.
