item	count
description	2215
has_input	3976
has_output	2295
id	3976
instrument_name	3490
name	3976
omics_type	3976
part_of	3976
processing_institution	3484
type	3976
add_date	2166
mod_date	2166
ncbi_project_name	2166
principal_investigator	2166
gold_sequencing_project_identifiers	1761
