id	env_package_orig	env_package_rep	env_broad_scale	consensus_id_ebs	consensus_lab_ebs	notes_x	env_local_scale	consensus_id_els	consensus_lab_els	notes_y	env_medium	consensus_id_em	consensus_lab_em	notes
BIOSAMPLE:SAMEA1712405	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712424	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712426	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712413	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712401	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712415	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712420	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712410	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712422	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712436	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712440	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712399	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712412	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712397	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712438	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712418	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712407	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712403	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712428	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712432	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712434	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712430	soil	soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil	field	ENVO:01000352	field	env_package_normalized.EnvPackage=soil	soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712680	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712693	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712669	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712685	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712665	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712679	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712667	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712668	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712688	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712674	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712678	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712687	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712675	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712663	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712664	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712689	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712671	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712686	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712684	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712673	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712692	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712662	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712677	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712660	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712666	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712682	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712683	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712661	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712681	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712690	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712676	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1712691	soil	soil	orchard	ENVO:00000115	orchard	env_package_normalized.EnvPackage=soil					soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877532	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877615	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877493	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877516	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877583	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877609	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877453	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877594	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877568	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877535	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877477	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877412	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877468	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877537	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877554	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877586	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877419	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877607	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877570	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877533	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877461	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877622	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877590	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877556	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877513	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877481	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877620	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877423	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877504	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877550	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877618	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877465	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877544	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877500	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877548	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877602	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877426	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877434	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877457	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877613	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877566	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877522	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877437	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877581	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877552	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877592	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877441	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877445	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877598	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877605	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877577	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877496	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877486	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877624	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877572	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877557	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877510	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877611	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877604	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877561	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877573	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877540	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877490	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877600	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877559	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877519	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877539	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1877596	soil	soil					Biological soil crust	ENVO:01000910	soil biocrust	env_package_normalized.EnvPackage=soil	Soil	ENVO:00001998	soil	env_package_normalized.EnvPackage=soil
