id	env_package_orig	env_package_rep	env_broad_scale	consensus_id_ebs	consensus_lab_ebs	notes_x	env_local_scale	consensus_id_els	consensus_lab_els	notes_y	env_medium	consensus_id_em	consensus_lab_em	notes
BIOSAMPLE:SAMEA1706488	soil	soil												
BIOSAMPLE:SAMEA1706552	soil	soil	terrestrial biome	ENVO:00000446	terrestrial biome	env_package_normalized.EnvPackage=soil	anthropogenic habitat	ENVO:00002031	anthropogenic habitat	env_package_normalized.EnvPackage=soil	oil contaminated soil	ENVO:00002875	oil contaminated soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1706550	soil	soil	terrestrial biome	ENVO:00000446	terrestrial biome	env_package_normalized.EnvPackage=soil	anthropogenic habitat	ENVO:00002031	anthropogenic habitat	env_package_normalized.EnvPackage=soil	oil contaminated soil	ENVO:00002875	oil contaminated soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1706543	soil	soil	terrestrial biome	ENVO:00000446	terrestrial biome	env_package_normalized.EnvPackage=soil	anthropogenic habitat	ENVO:00002031	anthropogenic habitat	env_package_normalized.EnvPackage=soil	oil contaminated soil	ENVO:00002875	oil contaminated soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1706553	soil	soil	terrestrial biome	ENVO:00000446	terrestrial biome	env_package_normalized.EnvPackage=soil	anthropogenic habitat	ENVO:00002031	anthropogenic habitat	env_package_normalized.EnvPackage=soil	oil contaminated soil	ENVO:00002875	oil contaminated soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMEA1706542	soil	soil	terrestrial biome	ENVO:00000446	terrestrial biome	env_package_normalized.EnvPackage=soil	anthropogenic habitat	ENVO:00002031	anthropogenic habitat	env_package_normalized.EnvPackage=soil	greenhouse soil	ENVO:00005780	greenhouse soil	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMN00998354	soil	soil	ENVO:00000883	ENVO:00000883	obsolete Deserts and xeric shrubland biome	env_package_normalized.EnvPackage=soil	ENVO:00000156	ENVO:00000156	desert oasis	env_package_normalized.EnvPackage=soil	ENVO:00002245	ENVO:00002245	gypsisol	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMN00998355	soil	soil	ENVO:00000883	ENVO:00000883	obsolete Deserts and xeric shrubland biome	env_package_normalized.EnvPackage=soil	ENVO:00000156	ENVO:00000156	desert oasis	env_package_normalized.EnvPackage=soil	ENVO:00002245	ENVO:00002245	gypsisol	env_package_normalized.EnvPackage=soil
BIOSAMPLE:SAMN01758330	soil	soil												
BIOSAMPLE:SAMN01758334	soil	soil												
