enumeration name	permissible value name	PV meaning
ProcessingInstitutionEnum	Battelle	https://ror.org/01h5tnr73
ProcessingInstitutionEnum	ANL	https://ror.org/05gvnxz63
ProcessingInstitutionEnum	UCD_Genome_Center	https://genomecenter.ucdavis.edu/
ChemicalConversionCategoryEnum		
ChemicalConversionCategoryEnum	addition	
ChemicalConversionCategoryEnum	substitution	
ChemicalConversionCategoryEnum	acid_base	
ChemicalConversionCategoryEnum	reduction_oxidation	
ChemicalConversionCategoryEnum	combustion	
ChemicalConversionCategoryEnum	decomposition	
ChemicalConversionCategoryEnum	protease_cleavage	OBI:0600056
DirectInfusionEnum		
DirectInfusionEnum	direct_infusion	
DirectInfusionEnum	autosampler	
AcquisitionCategoryEnum		
AcquisitionCategoryEnum	full_scan	
AcquisitionCategoryEnum	tandem_mass_spectrum	
AcquisitionStrategyEnum		
AcquisitionStrategyEnum	data_independent_acquisition	
AcquisitionStrategyEnum	data_dependent_acquisition	
ResolutionCategoryEnum		
ResolutionCategoryEnum	high	
ResolutionCategoryEnum	low	
MassAnalyzerEnum		
MassAnalyzerEnum	time_of_flight	
MassAnalyzerEnum	quadrupole	
MassAnalyzerEnum	Orbitrap	
MassAnalyzerEnum	ion_cyclotron_resonance	
MassAnalyzerEnum	ion_trap	
IonizationSourceEnum		
IonizationSourceEnum	electrospray_ionization	
IonizationSourceEnum	matrix_assisted_laser_desorption_ionization	
IonizationSourceEnum	athmospheric_pressure_photo_ionization	
IonizationSourceEnum	athmospheric_pressure_chemical_ionization	
IonizationSourceEnum	electron_ionization	
MassSpectrumCollectionModeEnum		
MassSpectrumCollectionModeEnum	full_profile	
MassSpectrumCollectionModeEnum	reduced_profile	
MassSpectrumCollectionModeEnum	centroid	
PolarityModeEnum		
PolarityModeEnum	positive	
PolarityModeEnum	negative	
AnalyteCategoryEnum		
AnalyteCategoryEnum	metagenome	
AnalyteCategoryEnum	metatranscriptome	
AnalyteCategoryEnum	metaproteome	
AnalyteCategoryEnum	metabolome	
AnalyteCategoryEnum	lipidome	
AnalyteCategoryEnum	nom	
ExecutionResourceEnum		
ExecutionResourceEnum	NERSC-Cori	
ExecutionResourceEnum	NERSC-Perlmutter	
ExecutionResourceEnum	EMSL	
ExecutionResourceEnum	EMSL-RZR	
ExecutionResourceEnum	JGI	
ExecutionResourceEnum	LANL-B-div	
InstrumentModelEnum		
InstrumentModelEnum	exploris_240	
InstrumentModelEnum	exploris_480	
InstrumentModelEnum	ltq_orbitrap_velos	
InstrumentModelEnum	orbitrap_fusion_lumos	
InstrumentModelEnum	orbitrap_eclipse_tribid	
InstrumentModelEnum	orbitrap_q_exactive	
InstrumentModelEnum	solarix_7T	
InstrumentModelEnum	solarix_12T	
InstrumentModelEnum	solarix_15T	
InstrumentModelEnum	agilent_8890A	
InstrumentModelEnum	agilent_7980A	
InstrumentModelEnum	vortex_genie_2	
InstrumentModelEnum	novaseq	
InstrumentModelEnum	novaseq_6000	OBI:0002630
InstrumentModelEnum	hiseq	
InstrumentModelEnum	hiseq_1000	OBI:0002022
InstrumentModelEnum	hiseq_1500	OBI:0003386
InstrumentModelEnum	hiseq_2000	OBI:0002001
InstrumentModelEnum	hiseq_2500	OBI:0002002
InstrumentModelEnum	hiseq_3000	OBI:0002048
InstrumentModelEnum	hiseq_4000	OBI:0002049
InstrumentModelEnum	hiseq_x_ten	OBI:0002129
InstrumentModelEnum	miniseq	OBI:0003114
InstrumentModelEnum	nextseq_1000	OBI:0003606
InstrumentModelEnum	miseq	OBI:0002003
InstrumentModelEnum	nextseq_500	OBI:0002021
InstrumentModelEnum	nextseq_550	OBI:0003387
InstrumentModelEnum	gridion	OBI:0002751
InstrumentModelEnum	minion	OBI:0002750
InstrumentModelEnum	promethion	OBI:0002752
InstrumentModelEnum	rs_II	OBI:0002012
InstrumentModelEnum	sequel	OBI:0002632
InstrumentModelEnum	sequel_II	OBI:0002633
InstrumentModelEnum	revio	
InstrumentVendorEnum		
InstrumentVendorEnum	waters	
InstrumentVendorEnum	agilent	
InstrumentVendorEnum	bruker	
InstrumentVendorEnum	thermo_fisher	
InstrumentVendorEnum	vwr	
InstrumentVendorEnum	perkin_elmer	
InstrumentVendorEnum	gilson	
InstrumentVendorEnum	scientific_industries	
InstrumentVendorEnum	illumina	OBI:0000759
InstrumentVendorEnum	pacbio	OBI:0001856
InstrumentVendorEnum	oxford_nanopore	OBI:0002755
ExtractionTargetEnum		
ExtractionTargetEnum	DNA	
ExtractionTargetEnum	RNA	
ExtractionTargetEnum	metabolite	
ExtractionTargetEnum	protein	
LibraryTypeEnum		
LibraryTypeEnum	DNA	
LibraryTypeEnum	RNA	
JgiContTypeEnum		
JgiContTypeEnum	plate	
JgiContTypeEnum	tube	
YesNoEnum		
YesNoEnum	no	
YesNoEnum	yes	
BiosampleCategoryEnum		
BiosampleCategoryEnum	LTER	https://lternet.edu/
BiosampleCategoryEnum	SIP	
BiosampleCategoryEnum	SFA	https://science.osti.gov/ber/funding-opportunities/laboratory-scientific-focus-area-guidance
BiosampleCategoryEnum	FICUS	https://jgi.doe.gov/user-programs/program-info/ficus-overview
BiosampleCategoryEnum	NEON	https://www.neonscience.org
DataCategoryEnum		
DataCategoryEnum	instrument_data	
DataCategoryEnum	processed_data	
FileTypeEnum		
FileTypeEnum	Metagenome Raw Reads	
FileTypeEnum	Metagenome Raw Read 1	
FileTypeEnum	Metagenome Raw Read 2	
FileTypeEnum	FT ICR-MS Analysis Results	
FileTypeEnum	GC-MS Metabolomics Results	
FileTypeEnum	Metaproteomics Workflow Statistics	
FileTypeEnum	Protein Report	
FileTypeEnum	Peptide Report	
FileTypeEnum	Unfiltered Metaproteomics Results	
FileTypeEnum	Read Count and RPKM	
FileTypeEnum	QC non-rRNA R2	
FileTypeEnum	QC non-rRNA R1	
FileTypeEnum	Metagenome Bins	
FileTypeEnum	Metagenome HQMQ Bins Compression File	
FileTypeEnum	Metagenome LQ Bins Compression File	
FileTypeEnum	Metagenome Bins Info File	
FileTypeEnum	CheckM Statistics	
FileTypeEnum	Metagenome Bins Heatmap	
FileTypeEnum	Metagenome Bins Barplot	
FileTypeEnum	Metagenome Bins Krona Plot	
FileTypeEnum	Read Based Analysis Info File	
FileTypeEnum	GTDBTK Bacterial Summary	
FileTypeEnum	GTDBTK Archaeal Summary	
FileTypeEnum	GOTTCHA2 Krona Plot	
FileTypeEnum	GOTTCHA2 Classification Report	
FileTypeEnum	GOTTCHA2 Report Full	
FileTypeEnum	Kraken2 Krona Plot	
FileTypeEnum	Centrifuge Krona Plot	
FileTypeEnum	Centrifuge output report file	
FileTypeEnum	Kraken2 Classification Report	
FileTypeEnum	Kraken2 Taxonomic Classification	
FileTypeEnum	Centrifuge Classification Report	
FileTypeEnum	Centrifuge Taxonomic Classification	
FileTypeEnum	Structural Annotation GFF	
FileTypeEnum	Structural Annotation Stats Json	
FileTypeEnum	Functional Annotation GFF	
FileTypeEnum	Annotation Info File	
FileTypeEnum	Annotation Amino Acid FASTA	
FileTypeEnum	Annotation Enzyme Commission	
FileTypeEnum	Annotation KEGG Orthology	
FileTypeEnum	Assembly Info File	
FileTypeEnum	Assembly Coverage BAM	
FileTypeEnum	Assembly AGP	
FileTypeEnum	Assembly Scaffolds	
FileTypeEnum	Assembly Contigs	
FileTypeEnum	Assembly Coverage Stats	
FileTypeEnum	Contig Mapping File	
FileTypeEnum	Error Corrected Reads	
FileTypeEnum	Filtered Sequencing Reads	
FileTypeEnum	Read Filtering Info File	
FileTypeEnum	QC Statistics Extended	
FileTypeEnum	QC Statistics	
FileTypeEnum	TIGRFam Annotation GFF	
FileTypeEnum	CRT Annotation GFF	
FileTypeEnum	Genemark Annotation GFF	
FileTypeEnum	Prodigal Annotation GFF	
FileTypeEnum	TRNA Annotation GFF	
FileTypeEnum	Misc Annotation GFF	
FileTypeEnum	RFAM Annotation GFF	
FileTypeEnum	TMRNA Annotation GFF	
FileTypeEnum	Crispr Terms	
FileTypeEnum	Product Names	
FileTypeEnum	Gene Phylogeny tsv	
FileTypeEnum	Scaffold Lineage tsv	
FileTypeEnum	Clusters of Orthologous Groups (COG) Annotation GFF	
FileTypeEnum	KO_EC Annotation GFF	
FileTypeEnum	CATH FunFams (Functional Families) Annotation GFF	
FileTypeEnum	SUPERFam Annotation GFF	
FileTypeEnum	SMART Annotation GFF	
FileTypeEnum	Pfam Annotation GFF	
FileTypeEnum	Annotation Statistics	
FileTypeEnum	Direct Infusion FT ICR-MS Raw Data	
FileTypeEnum	LC-DDA-MS/MS Raw Data	
CreditEnum		
CreditEnum	Conceptualization	
CreditEnum	Data curation	
CreditEnum	Formal Analysis	
CreditEnum	Funding acquisition	
CreditEnum	Investigation	
CreditEnum	Methodology	
CreditEnum	Project administration	
CreditEnum	Resources	
CreditEnum	Software	
CreditEnum	Supervision	
CreditEnum	Validation	
CreditEnum	Visualization	
CreditEnum	Writing original draft	
CreditEnum	Writing review and editing	
CreditEnum	Principal Investigator	OBI:0000103
CreditEnum	Submitter	EFO:0001741
StudyCategoryEnum		
StudyCategoryEnum	research_study	
StudyCategoryEnum	consortium	
DoiProviderEnum		
DoiProviderEnum	emsl	https://ror.org/04rc0xn13
DoiProviderEnum	jgi	https://ror.org/04xm1d337
DoiProviderEnum	kbase	https://ror.org/01znn6x10
DoiProviderEnum	osti	https://ror.org/031478740
DoiProviderEnum	ess_dive	https://ror.org/01t14bp54
DoiProviderEnum	massive	
DoiProviderEnum	gsc	
DoiProviderEnum	zenodo	
DoiProviderEnum	edi	https://ror.org/0330j0z60
DoiCategoryEnum		
DoiCategoryEnum	award_doi	
DoiCategoryEnum	dataset_doi	
DoiCategoryEnum	publication_doi	
DoiCategoryEnum	data_management_plan_doi	
ContainerCategoryEnum		
ContainerCategoryEnum	v-bottom_conical_tube	
ContainerCategoryEnum	falcon_tube	
FailureWhatEnum		
FailureWhatEnum	low_read_count	
FailureWhatEnum	malformed_data	
FailureWhatEnum	assembly_size_too_small	
FailureWhatEnum	no_valid_data_generated	
FailureWhatEnum	other	
FailureWhereEnum		
FailureWhereEnum	OmicsProcessing	
FailureWhereEnum	Pooling	
FailureWhereEnum	Extraction	
FailureWhereEnum	LibraryPreparation	
FailureWhereEnum	MetagenomeAssembly	
FailureWhereEnum	MetatranscriptomeActivity	
FailureWhereEnum	MagsAnalysisActivity	
FailureWhereEnum	ReadQcAnalysisActivity	
FailureWhereEnum	ReadBasedTaxonomyAnalysisActivity	
FailureWhereEnum	MetagenomeAnnotationActivity	
SeparationMethodEnum		
SeparationMethodEnum	ptfe_96_well_filter_plate	
StationaryPhaseEnum		
StationaryPhaseEnum	C18	
StationaryPhaseEnum	C8	
StationaryPhaseEnum	C4	
StationaryPhaseEnum	C2	
StationaryPhaseEnum	C1	
StationaryPhaseEnum	C30	
StationaryPhaseEnum	C60	
StationaryPhaseEnum	CNT	
StationaryPhaseEnum	CN	
StationaryPhaseEnum	Diol	
StationaryPhaseEnum	HILIC	
StationaryPhaseEnum	NH2	
StationaryPhaseEnum	Phenyl	
StationaryPhaseEnum	PS-DVB	
StationaryPhaseEnum	SAX	
StationaryPhaseEnum	SCX	
StationaryPhaseEnum	Silica	
StationaryPhaseEnum	WCX	
StationaryPhaseEnum	WAX	
StationaryPhaseEnum	ZIC-HILIC	
StationaryPhaseEnum	ZIC-pHILIC	
StationaryPhaseEnum	ZIC-cHILIC	
ProtocolCategoryEnum		
ProtocolCategoryEnum	mplex	
ProtocolCategoryEnum	derivatization	
ProtocolCategoryEnum	filter_clean_up	
ProtocolCategoryEnum	organic_matter_extraction	
ProtocolCategoryEnum	solid_phase_extraction	
ProtocolCategoryEnum	phosphorus_extraction	
ProtocolCategoryEnum	ph_measurement	
ProtocolCategoryEnum	respiration_measurement	
ProtocolCategoryEnum	texture_measurement	
ProtocolCategoryEnum	dna_extraction	
ProtocolCategoryEnum	phenol_chloroform_extraction	
ChromatographicCategoryEnum		
ChromatographicCategoryEnum	liquid_chromatography	
ChromatographicCategoryEnum	gas_chromatography	
ChromatographicCategoryEnum	solid_phase_extraction	
