enumeration name	permissible value name	PV meaning
floor_water_mold_enum	wet floor	
floor_water_mold_enum	water stains	
floor_water_mold_enum	wall discoloration	
floor_water_mold_enum	floor discoloration	
floor_water_mold_enum	ceiling discoloration	
floor_water_mold_enum	peeling paint or wallpaper	
floor_water_mold_enum	bulging walls	
floor_water_mold_enum	condensation	
freq_clean_enum		
freq_clean_enum	Daily	
freq_clean_enum	Weekly	
freq_clean_enum	Monthly	
freq_clean_enum	Quarterly	
freq_clean_enum	Annually	
freq_clean_enum	other	
furniture_enum		
furniture_enum	cabinet	
furniture_enum	chair	
furniture_enum	desks	
gender_restroom_enum		
gender_restroom_enum	all gender	
gender_restroom_enum	female	
gender_restroom_enum	gender neurtral	
gender_restroom_enum	male	
gender_restroom_enum	male and female	
gender_restroom_enum	unisex	
growth_habit_enum		
growth_habit_enum	erect	
growth_habit_enum	semi-erect	
growth_habit_enum	spreading	
growth_habit_enum	prostrate	
handidness_enum		
handidness_enum	ambidexterity	
handidness_enum	left handedness	
handidness_enum	mixed-handedness	
handidness_enum	right handedness	
hc_produced_enum		
hc_produced_enum	Oil	
hc_produced_enum	Gas-Condensate	
hc_produced_enum	Gas	
hc_produced_enum	Bitumen	
hc_produced_enum	Coalbed Methane	
hc_produced_enum	other	
hcr_enum		
hcr_enum	Oil Reservoir	
hcr_enum	Gas Reservoir	
hcr_enum	Oil Sand	
hcr_enum	Coalbed	
hcr_enum	Shale	
hcr_enum	Tight Oil Reservoir	
hcr_enum	Tight Gas Reservoir	
hcr_enum	other	
hcr_geol_age_enum		
hcr_geol_age_enum	Archean	
hcr_geol_age_enum	Cambrian	
hcr_geol_age_enum	Carboniferous	
hcr_geol_age_enum	Cenozoic	
hcr_geol_age_enum	Cretaceous	
hcr_geol_age_enum	Devonian	
hcr_geol_age_enum	Jurassic	
hcr_geol_age_enum	Mesozoic	
hcr_geol_age_enum	Neogene	
hcr_geol_age_enum	Ordovician	
hcr_geol_age_enum	Paleogene	
hcr_geol_age_enum	Paleozoic	
hcr_geol_age_enum	Permian	
hcr_geol_age_enum	Precambrian	
hcr_geol_age_enum	Proterozoic	
hcr_geol_age_enum	Silurian	
hcr_geol_age_enum	Triassic	
hcr_geol_age_enum	other	
heat_cool_type_enum		
heat_cool_type_enum	radiant system	
heat_cool_type_enum	heat pump	
heat_cool_type_enum	forced air system	
heat_cool_type_enum	steam forced heat	
heat_cool_type_enum	wood stove	
heat_deliv_loc_enum		
heat_deliv_loc_enum	north	
heat_deliv_loc_enum	south	
heat_deliv_loc_enum	east	
heat_deliv_loc_enum	west	
host_sex_enum		
host_sex_enum	female	
host_sex_enum	hermaphrodite	
host_sex_enum	male	
host_sex_enum	neuter	
indoor_space_enum		
indoor_space_enum	bedroom	
indoor_space_enum	office	
indoor_space_enum	bathroom	
indoor_space_enum	foyer	
indoor_space_enum	kitchen	
indoor_space_enum	locker room	
indoor_space_enum	hallway	
indoor_space_enum	elevator	
indoor_surf_enum		
indoor_surf_enum	cabinet	
indoor_surf_enum	ceiling	
indoor_surf_enum	counter top	
indoor_surf_enum	door	
indoor_surf_enum	shelving	
indoor_surf_enum	vent cover	
indoor_surf_enum	window	
indoor_surf_enum	wall	
int_wall_cond_enum		
int_wall_cond_enum	new	
int_wall_cond_enum	visible wear	
int_wall_cond_enum	needs repair	
int_wall_cond_enum	damaged	
int_wall_cond_enum	rupture	
light_type_enum		
light_type_enum	natural light	
light_type_enum	electric light	
light_type_enum	desk lamp	
light_type_enum	flourescent lights	
light_type_enum	none	
lithology_enum		
lithology_enum	Basement	
lithology_enum	Chalk	
lithology_enum	Chert	
lithology_enum	Coal	
lithology_enum	Conglomerate	
lithology_enum	Diatomite	
lithology_enum	Dolomite	
lithology_enum	Limestone	
lithology_enum	Sandstone	
lithology_enum	Shale	
lithology_enum	Siltstone	
lithology_enum	Volcanic	
lithology_enum	other	
mech_struc_enum		
mech_struc_enum	subway	
mech_struc_enum	coach	
mech_struc_enum	carriage	
mech_struc_enum	elevator	
mech_struc_enum	escalator	
mech_struc_enum	boat	
mech_struc_enum	train	
mech_struc_enum	car	
mech_struc_enum	bus	
occup_document_enum		
occup_document_enum	automated count	
occup_document_enum	estimate	
occup_document_enum	manual count	
occup_document_enum	videos	
organism_count_enum		
organism_count_enum	ATP	
organism_count_enum	MPN	
