DH pulldown column	DH pulldown option
EcosystemEnum	Engineered
EcosystemEnum	Environmental
EcosystemEnum	Host-associated
SpecificEcosystemEnum	Unclassified
SpecificEcosystemEnum	Pond scum
SpecificEcosystemEnum	Sediment
SpecificEcosystemEnum	Sieved
SpecificEcosystemEnum	Hydrocarbon
SpecificEcosystemEnum	Biofilm
SpecificEcosystemEnum	Granular sludge
SpecificEcosystemEnum	Woodchip biofilm
SpecificEcosystemEnum	Activated sludge
SpecificEcosystemEnum	Sludge
SpecificEcosystemEnum	Biomass
SpecificEcosystemEnum	Digestate
SpecificEcosystemEnum	Bioreactor
SpecificEcosystemEnum	Bench surface
SpecificEcosystemEnum	Concrete surface
SpecificEcosystemEnum	Metal surface
SpecificEcosystemEnum	Plastic surface
SpecificEcosystemEnum	Stone surface
SpecificEcosystemEnum	Wooden surface
SpecificEcosystemEnum	Room surface
SpecificEcosystemEnum	Floor
SpecificEcosystemEnum	Sandstone
SpecificEcosystemEnum	Wheat straw
SpecificEcosystemEnum	Petroleum sludge
SpecificEcosystemEnum	Wastewater
SpecificEcosystemEnum	Cheese
SpecificEcosystemEnum	Cooked blood
SpecificEcosystemEnum	Beef chop
SpecificEcosystemEnum	Meat trim
SpecificEcosystemEnum	Heroin
SpecificEcosystemEnum	Frozen shrimp
SpecificEcosystemEnum	Contaminated
SpecificEcosystemEnum	Co-culture
SpecificEcosystemEnum	Sugarcane filter cake
SpecificEcosystemEnum	Liquid manure
SpecificEcosystemEnum	Mature compost
SpecificEcosystemEnum	Commercial compost
SpecificEcosystemEnum	Effluent
SpecificEcosystemEnum	Municipal and sewage
SpecificEcosystemEnum	Poultry processing wastewater
SpecificEcosystemEnum	Acid mine drainage
SpecificEcosystemEnum	Produced water
SpecificEcosystemEnum	Oil sludge
SpecificEcosystemEnum	Anammox
SpecificEcosystemEnum	Poultry litter bioaerosol
SpecificEcosystemEnum	Microbial mat
SpecificEcosystemEnum	Acid-saline drainage
SpecificEcosystemEnum	Acidic spring
SpecificEcosystemEnum	Alkaline spring
SpecificEcosystemEnum	Cave lake
SpecificEcosystemEnum	Cave microbial mat
SpecificEcosystemEnum	Cave pool
SpecificEcosystemEnum	Cave pool sediment
SpecificEcosystemEnum	Cave stream
SpecificEcosystemEnum	Cave stream sediment
SpecificEcosystemEnum	Coalbed methane well water
SpecificEcosystemEnum	Drilled well/Borehole
SpecificEcosystemEnum	Driven well
SpecificEcosystemEnum	Dug well
SpecificEcosystemEnum	Freshwater
SpecificEcosystemEnum	Mine water
SpecificEcosystemEnum	Porewater
SpecificEcosystemEnum	Saline
SpecificEcosystemEnum	Saline spring
SpecificEcosystemEnum	Saline spring sediment
SpecificEcosystemEnum	Spring
SpecificEcosystemEnum	Spring sediment
SpecificEcosystemEnum	Well
SpecificEcosystemEnum	Well biofilm
SpecificEcosystemEnum	Well sediment
SpecificEcosystemEnum	Produced water/Flow back
SpecificEcosystemEnum	Benthic
SpecificEcosystemEnum	Chloraminated
SpecificEcosystemEnum	Chlorinated
SpecificEcosystemEnum	Delivery networks
SpecificEcosystemEnum	Filtered water
SpecificEcosystemEnum	Unchlorinated
SpecificEcosystemEnum	Untreated
SpecificEcosystemEnum	Cryoconite hole
SpecificEcosystemEnum	Glacier stream
SpecificEcosystemEnum	Ice
SpecificEcosystemEnum	Meltwater
SpecificEcosystemEnum	Acid Mine Drainage
SpecificEcosystemEnum	Aquifer
SpecificEcosystemEnum	Cave water
SpecificEcosystemEnum	Coalbed water
SpecificEcosystemEnum	Mine
SpecificEcosystemEnum	Mine drainage
SpecificEcosystemEnum	Cryoconite
SpecificEcosystemEnum	Glacial lake
SpecificEcosystemEnum	Glacier
SpecificEcosystemEnum	Glacier meltwater
SpecificEcosystemEnum	Ice accretions
SpecificEcosystemEnum	Liftoff microbial mat
SpecificEcosystemEnum	Snow
SpecificEcosystemEnum	Algal bloom
SpecificEcosystemEnum	Anoxic zone
SpecificEcosystemEnum	Aphotic zone
SpecificEcosystemEnum	Cyanobacterial aggregates
SpecificEcosystemEnum	Cyanobacterial bloom
SpecificEcosystemEnum	Epilimnion/Euphotic zone
SpecificEcosystemEnum	Estuarine sediment
SpecificEcosystemEnum	Estuary
SpecificEcosystemEnum	Hypolimnion/Profundal zone
SpecificEcosystemEnum	Lake biofilm
SpecificEcosystemEnum	Littoral zone
SpecificEcosystemEnum	Metalimnion/Thermocline
SpecificEcosystemEnum	Microbial mats
SpecificEcosystemEnum	Epilimnion
SpecificEcosystemEnum	Hypolimnion
SpecificEcosystemEnum	Limnetic zone
SpecificEcosystemEnum	Stromatolites
SpecificEcosystemEnum	Thrombolites
SpecificEcosystemEnum	Periphyton
SpecificEcosystemEnum	Plankton
SpecificEcosystemEnum	River biofilm
SpecificEcosystemEnum	Runoff
SpecificEcosystemEnum	Drainage pipe biofilm
SpecificEcosystemEnum	Urban floodwater
SpecificEcosystemEnum	Bog
SpecificEcosystemEnum	Fen
SpecificEcosystemEnum	Marsh
SpecificEcosystemEnum	Soil
SpecificEcosystemEnum	Swamp
SpecificEcosystemEnum	Formation fluid
SpecificEcosystemEnum	Wood fall
SpecificEcosystemEnum	Brine
SpecificEcosystemEnum	Phytoplankton bloom
SpecificEcosystemEnum	Rock
SpecificEcosystemEnum	Whale fall
SpecificEcosystemEnum	Black smokers
SpecificEcosystemEnum	Diffuse flow
SpecificEcosystemEnum	Hydrothermal plume
SpecificEcosystemEnum	Tubeworm bush
SpecificEcosystemEnum	Beach/Shore
SpecificEcosystemEnum	Coral reef
SpecificEcosystemEnum	Estuary: Microbial mat
SpecificEcosystemEnum	Estuary: Sediment
SpecificEcosystemEnum	Mangrove sediment
SpecificEcosystemEnum	Mangrove soil
SpecificEcosystemEnum	Mangrove swamp
SpecificEcosystemEnum	Microbialites
SpecificEcosystemEnum	Oil-contaminated
SpecificEcosystemEnum	Oil-contaminated sediment
SpecificEcosystemEnum	Salt marsh
SpecificEcosystemEnum	Salt marsh sediment
SpecificEcosystemEnum	Salt pond
SpecificEcosystemEnum	Salt pond sediment
SpecificEcosystemEnum	Seagrass bed
SpecificEcosystemEnum	Seagrass bed sediment
SpecificEcosystemEnum	Solar solterns
SpecificEcosystemEnum	Solar solterns sediment
SpecificEcosystemEnum	Subterranean estuary
