DH pulldown column	DH pulldown option
SpecificEcosystemEnum	Tidal flats
SpecificEcosystemEnum	Intertidal zone
SpecificEcosystemEnum	Neritic zone/Coastal water
SpecificEcosystemEnum	Supratidal zone
SpecificEcosystemEnum	Reef zone
SpecificEcosystemEnum	Sea ice
SpecificEcosystemEnum	Sea-ice brine
SpecificEcosystemEnum	Subtidal zone
SpecificEcosystemEnum	Subtidal zone sediment
SpecificEcosystemEnum	Abyssal plane
SpecificEcosystemEnum	Crustal Fluids
SpecificEcosystemEnum	Oceanic crust
SpecificEcosystemEnum	Photic zone
SpecificEcosystemEnum	Abyssopelagic/Abyssal zone
SpecificEcosystemEnum	Bathypelagic/Bathyal zone
SpecificEcosystemEnum	Epipelagic/Euphotic zone
SpecificEcosystemEnum	Hadopelagic zone/Ocean trenches
SpecificEcosystemEnum	Mesopelagic/Twilight zone
SpecificEcosystemEnum	Melt pond
SpecificEcosystemEnum	Sabkha
SpecificEcosystemEnum	Sabkha sediment
SpecificEcosystemEnum	Carbonate
SpecificEcosystemEnum	Mine pit pond
SpecificEcosystemEnum	Salt crust
SpecificEcosystemEnum	Sediment–water interface
SpecificEcosystemEnum	Salt flat/Salt pan
SpecificEcosystemEnum	Salt flat/Salt pan sediment
SpecificEcosystemEnum	Alkaline
SpecificEcosystemEnum	Ice core
SpecificEcosystemEnum	Athalassic
SpecificEcosystemEnum	Thalassic
SpecificEcosystemEnum	Saline water
SpecificEcosystemEnum	Acidic
SpecificEcosystemEnum	Neutral
SpecificEcosystemEnum	Adjacent soil
SpecificEcosystemEnum	Rock core/Sediment
SpecificEcosystemEnum	Floor sediment
SpecificEcosystemEnum	Speleothems
SpecificEcosystemEnum	Wall biofilm
SpecificEcosystemEnum	Wall surface
SpecificEcosystemEnum	Coal core
SpecificEcosystemEnum	Coal slurry
SpecificEcosystemEnum	Shale carbon reservoir
SpecificEcosystemEnum	Flow back/Produced fluids
SpecificEcosystemEnum	Sediment core
SpecificEcosystemEnum	Asbestos
SpecificEcosystemEnum	Pyrite containing
SpecificEcosystemEnum	Spider web
SpecificEcosystemEnum	Beehive: Brood combs
SpecificEcosystemEnum	Beehive: Cerumen
SpecificEcosystemEnum	Beehive: Honey
SpecificEcosystemEnum	Beehive: Pollen
SpecificEcosystemEnum	Beehive: Royal jelly
SpecificEcosystemEnum	Fungus garden/Fungus gallery
SpecificEcosystemEnum	Nest dump
SpecificEcosystemEnum	Leaves
SpecificEcosystemEnum	Rocks
SpecificEcosystemEnum	Bulk soil
SpecificEcosystemEnum	Agricultural land
SpecificEcosystemEnum	A horizon/Topsoil
SpecificEcosystemEnum	B horizon/Subsoil
SpecificEcosystemEnum	C horizon/Substratum
SpecificEcosystemEnum	E horizon/Subsurface
SpecificEcosystemEnum	Humus
SpecificEcosystemEnum	Mineral soil
SpecificEcosystemEnum	O horizon/Organic
SpecificEcosystemEnum	Grasslands
SpecificEcosystemEnum	Acid sulfate soil
SpecificEcosystemEnum	Pesticide
SpecificEcosystemEnum	Uranium contaminated
SpecificEcosystemEnum	Dry permafrost
SpecificEcosystemEnum	Gibber plain
SpecificEcosystemEnum	Fluvial sediment
SpecificEcosystemEnum	Green roof
SpecificEcosystemEnum	Glacial till/moraine
SpecificEcosystemEnum	Glacier forefield
SpecificEcosystemEnum	Glacier terminus
SpecificEcosystemEnum	Pasture
SpecificEcosystemEnum	Upland zone
SpecificEcosystemEnum	Wetland zone
SpecificEcosystemEnum	Cover soil
SpecificEcosystemEnum	Eutric
SpecificEcosystemEnum	Agricultural soil
SpecificEcosystemEnum	Forest soil
SpecificEcosystemEnum	Meadow
SpecificEcosystemEnum	Truffle orchard
SpecificEcosystemEnum	Mineral soil core
SpecificEcosystemEnum	Peat permafrost
SpecificEcosystemEnum	O horizen/Organic layer
SpecificEcosystemEnum	Forest
SpecificEcosystemEnum	Lignite
SpecificEcosystemEnum	Mire
SpecificEcosystemEnum	Palsa
SpecificEcosystemEnum	Permafrost
SpecificEcosystemEnum	Thermokarst pond
SpecificEcosystemEnum	Forefield soil
SpecificEcosystemEnum	Trees stand
SpecificEcosystemEnum	Desert
SpecificEcosystemEnum	Biological
SpecificEcosystemEnum	Physical
SpecificEcosystemEnum	Reclaimed
SpecificEcosystemEnum	O horizon/Organic layer
SpecificEcosystemEnum	Organic layer
SpecificEcosystemEnum	Alpine
SpecificEcosystemEnum	Boreal forest
SpecificEcosystemEnum	Creek
SpecificEcosystemEnum	Farm
SpecificEcosystemEnum	Forest Soil
SpecificEcosystemEnum	Orchard soil
SpecificEcosystemEnum	Riparian soil
SpecificEcosystemEnum	Shrubland
SpecificEcosystemEnum	Tropical rainforest
SpecificEcosystemEnum	Saprolite
SpecificEcosystemEnum	Freshwater marsh
SpecificEcosystemEnum	Peat
SpecificEcosystemEnum	Liver
SpecificEcosystemEnum	Fecal
SpecificEcosystemEnum	Cast
SpecificEcosystemEnum	Extracellular symbionts
SpecificEcosystemEnum	Epibionts
SpecificEcosystemEnum	Extracellular
SpecificEcosystemEnum	Cardiac stomach
SpecificEcosystemEnum	Esophagus
SpecificEcosystemEnum	Pyloric stomach
SpecificEcosystemEnum	Stomach
SpecificEcosystemEnum	Intestine
SpecificEcosystemEnum	Anterior chamber
SpecificEcosystemEnum	Papillate region
SpecificEcosystemEnum	Rectum
SpecificEcosystemEnum	Caeca
SpecificEcosystemEnum	Hepatopancreas
SpecificEcosystemEnum	Setae
SpecificEcosystemEnum	Gills
SpecificEcosystemEnum	Gaster
SpecificEcosystemEnum	Buccal cavity
SpecificEcosystemEnum	Cibarium/Preoral cavity
SpecificEcosystemEnum	Crop
SpecificEcosystemEnum	Mouthparts
SpecificEcosystemEnum	Oral fluids
SpecificEcosystemEnum	Proventriculus/Gizzard
SpecificEcosystemEnum	Regurgitated nectar
SpecificEcosystemEnum	Saliva
SpecificEcosystemEnum	Lower digestive tract
SpecificEcosystemEnum	Anterior
SpecificEcosystemEnum	Colon
SpecificEcosystemEnum	Frass
SpecificEcosystemEnum	Honeydew
SpecificEcosystemEnum	Ileum
SpecificEcosystemEnum	P1 segment
SpecificEcosystemEnum	P4 segment
SpecificEcosystemEnum	P5 segment
SpecificEcosystemEnum	Paunch/P3 segment
SpecificEcosystemEnum	Caeca: Bacteriome
SpecificEcosystemEnum	Filter chamber
SpecificEcosystemEnum	Gastric caeca
SpecificEcosystemEnum	Hepatic caecum
SpecificEcosystemEnum	Mixed segment
SpecificEcosystemEnum	Royal jelly
SpecificEcosystemEnum	Meconium
SpecificEcosystemEnum	Air sacs
SpecificEcosystemEnum	Propleura
SpecificEcosystemEnum	P3 segment
SpecificEcosystemEnum	Prothorax
SpecificEcosystemEnum	Thoracic segments
SpecificEcosystemEnum	Serum
SpecificEcosystemEnum	Lumen
SpecificEcosystemEnum	Crop content
SpecificEcosystemEnum	Crop milk
SpecificEcosystemEnum	Ceca
SpecificEcosystemEnum	Cloaca
SpecificEcosystemEnum	Colon mucosa
SpecificEcosystemEnum	Tongue
SpecificEcosystemEnum	Oropharynx
SpecificEcosystemEnum	Duodenum
SpecificEcosystemEnum	Jejunum
SpecificEcosystemEnum	Mucosa
SpecificEcosystemEnum	Gizzard
SpecificEcosystemEnum	Proventriculus
SpecificEcosystemEnum	Subcutaneous fat
SpecificEcosystemEnum	Visceral fat
SpecificEcosystemEnum	Feathers
SpecificEcosystemEnum	Podotheca
SpecificEcosystemEnum	Rhamphotheca
SpecificEcosystemEnum	Scales
SpecificEcosystemEnum	Cerebrospinal fluid
SpecificEcosystemEnum	Epithelium
SpecificEcosystemEnum	Syrinx
SpecificEcosystemEnum	Bile
SpecificEcosystemEnum	Gall bladder
SpecificEcosystemEnum	Stomach: Cardiac
SpecificEcosystemEnum	Stomach: Fundic
SpecificEcosystemEnum	Stomach: Pyloric
SpecificEcosystemEnum	Air-breathing organ
SpecificEcosystemEnum	Teeth
SpecificEcosystemEnum	Epidermal mucus
SpecificEcosystemEnum	Fin
SpecificEcosystemEnum	Lesion
SpecificEcosystemEnum	Whole body
SpecificEcosystemEnum	Pink
SpecificEcosystemEnum	Red
SpecificEcosystemEnum	White
SpecificEcosystemEnum	Olfactory mucosa
SpecificEcosystemEnum	Clasper
SpecificEcosystemEnum	Gonopodium
SpecificEcosystemEnum	Eggs
SpecificEcosystemEnum	Sperm
SpecificEcosystemEnum	Mucus
SpecificEcosystemEnum	Surface
SpecificEcosystemEnum	Tissue
SpecificEcosystemEnum	Malignant ascites
SpecificEcosystemEnum	Effusion
SpecificEcosystemEnum	Eustachian tube
SpecificEcosystemEnum	Ear canal
SpecificEcosystemEnum	Ear discharge
SpecificEcosystemEnum	Colorectal polyps
SpecificEcosystemEnum	Nasal
SpecificEcosystemEnum	Colonic
SpecificEcosystemEnum	Aural
SpecificEcosystemEnum	Bladder
SpecificEcosystemEnum	Cervical
SpecificEcosystemEnum	Endometrial/Uterine
SpecificEcosystemEnum	Common warts
SpecificEcosystemEnum	Filiform warts
SpecificEcosystemEnum	Flat warts
SpecificEcosystemEnum	Genital warts
SpecificEcosystemEnum	Plantar warts
SpecificEcosystemEnum	Arterial
SpecificEcosystemEnum	Buffy coat
SpecificEcosystemEnum	Erythrocytes
SpecificEcosystemEnum	PBMC
SpecificEcosystemEnum	Plasma
SpecificEcosystemEnum	Venous
SpecificEcosystemEnum	Whole blood
SpecificEcosystemEnum	Atria
SpecificEcosystemEnum	Cardiac skeleton
SpecificEcosystemEnum	Heart valve
SpecificEcosystemEnum	Heart wall
SpecificEcosystemEnum	Myocardial abscess
SpecificEcosystemEnum	Septum
SpecificEcosystemEnum	Tricuspid valve
SpecificEcosystemEnum	Ventricle
SpecificEcosystemEnum	Bile ducts: Bile
SpecificEcosystemEnum	Gallbladder
SpecificEcosystemEnum	Gallbladder stones
SpecificEcosystemEnum	Gallbladder: Bile
SpecificEcosystemEnum	Hepatic cysts
SpecificEcosystemEnum	Esophageal ulcer
SpecificEcosystemEnum	Anal canal
SpecificEcosystemEnum	Anal canal mucosa
SpecificEcosystemEnum	Anorectal abscess
SpecificEcosystemEnum	Appendix
SpecificEcosystemEnum	Appendix abscess
SpecificEcosystemEnum	Ascending colon
SpecificEcosystemEnum	Cecum
SpecificEcosystemEnum	Descending colon
SpecificEcosystemEnum	Hepatic flexure
SpecificEcosystemEnum	Rectal mucosa
SpecificEcosystemEnum	Sigmoid colon
SpecificEcosystemEnum	Splenic flexure
SpecificEcosystemEnum	Transverse colon
SpecificEcosystemEnum	Intestinal mucosa
SpecificEcosystemEnum	Attached/Keratinized gingiva
SpecificEcosystemEnum	Buccal mucosa
SpecificEcosystemEnum	Dental abscess
SpecificEcosystemEnum	Dental calculus
SpecificEcosystemEnum	Dental plaque
SpecificEcosystemEnum	Gingiva
SpecificEcosystemEnum	Gingival crevice/sulcus
SpecificEcosystemEnum	Gingival crevicular fluids
SpecificEcosystemEnum	Hard palate
SpecificEcosystemEnum	Mouth ulcer
SpecificEcosystemEnum	Oral mucosa
SpecificEcosystemEnum	Parotid abscess
SpecificEcosystemEnum	Periodontal pockets
SpecificEcosystemEnum	Salivary glands
SpecificEcosystemEnum	Salivary glands: Parotid glands
SpecificEcosystemEnum	Subgingival plaque
SpecificEcosystemEnum	Supragingival plaque
SpecificEcosystemEnum	Tongue dorsum
SpecificEcosystemEnum	Tooth
SpecificEcosystemEnum	Tooth: Cementum
SpecificEcosystemEnum	Tooth: Dental pulp
SpecificEcosystemEnum	Tooth: Dentin
SpecificEcosystemEnum	Tooth: Enamel
SpecificEcosystemEnum	Pancreatic duct
SpecificEcosystemEnum	Peritonsillar abscess
SpecificEcosystemEnum	Duodenal ulcer
SpecificEcosystemEnum	Ileostomy effluent
SpecificEcosystemEnum	Chyme
SpecificEcosystemEnum	Gastric mucosa
SpecificEcosystemEnum	Gastric ulcer
SpecificEcosystemEnum	Adrenal glands
SpecificEcosystemEnum	Hypophysis/Pituitary gland
SpecificEcosystemEnum	Parathyroid
SpecificEcosystemEnum	Pineal gland/Epiphysis cerebri
SpecificEcosystemEnum	Thymus
SpecificEcosystemEnum	Thyroid
SpecificEcosystemEnum	Amniotic fluid
SpecificEcosystemEnum	Chorionic villi
SpecificEcosystemEnum	Placenta
SpecificEcosystemEnum	Umbilical cord
SpecificEcosystemEnum	Umbilical cord blood
SpecificEcosystemEnum	Sweat
SpecificEcosystemEnum	Cerumen/Earwax
SpecificEcosystemEnum	Hair roots
SpecificEcosystemEnum	Hair shaft
SpecificEcosystemEnum	Lacrimal canaliculus
SpecificEcosystemEnum	Lacrimal fluids
SpecificEcosystemEnum	Lacrimal glands
SpecificEcosystemEnum	Lacrimal sac
SpecificEcosystemEnum	Nasolacrimal canal
SpecificEcosystemEnum	Tears
SpecificEcosystemEnum	Breast abscess
SpecificEcosystemEnum	Breast cyst
SpecificEcosystemEnum	Discharge
SpecificEcosystemEnum	Milk
SpecificEcosystemEnum	Meibum
SpecificEcosystemEnum	Sebum
SpecificEcosystemEnum	Stye
SpecificEcosystemEnum	Abscess
SpecificEcosystemEnum	Abscess: Furuncle/Boil
SpecificEcosystemEnum	Abscess: Pilonidal sinus
SpecificEcosystemEnum	Acne vulgaris
SpecificEcosystemEnum	Athlete's foot
SpecificEcosystemEnum	Auricle/Pinna
SpecificEcosystemEnum	Axilla/Armpit
SpecificEcosystemEnum	Cellulitis
SpecificEcosystemEnum	Cutaneous leishmaniasis
SpecificEcosystemEnum	Cuticle
SpecificEcosystemEnum	Dermal papilla
SpecificEcosystemEnum	Dermatitis
SpecificEcosystemEnum	Dermis
SpecificEcosystemEnum	Diabetic foot ulcer (DFU)
SpecificEcosystemEnum	Eczema
SpecificEcosystemEnum	Epidermis
SpecificEcosystemEnum	Genital herpes
SpecificEcosystemEnum	Genital region
SpecificEcosystemEnum	Hair follicle
SpecificEcosystemEnum	Herpes zoster/Shingles
SpecificEcosystemEnum	Hypodermis/Subcutis
SpecificEcosystemEnum	Nose follicle
SpecificEcosystemEnum	Oral herpes
SpecificEcosystemEnum	Perineum
SpecificEcosystemEnum	Psoriasis lesion
SpecificEcosystemEnum	Retroauricular crease
SpecificEcosystemEnum	Rosacea
SpecificEcosystemEnum	Scalp
SpecificEcosystemEnum	Scalp: Dandruff
SpecificEcosystemEnum	Scalp: Non-dandruff
SpecificEcosystemEnum	Skin surface
SpecificEcosystemEnum	Skin tissue
SpecificEcosystemEnum	Ulcer
SpecificEcosystemEnum	Umbilicus
SpecificEcosystemEnum	Right
SpecificEcosystemEnum	Thoracic
SpecificEcosystemEnum	Abdomen nodes
SpecificEcosystemEnum	Arm nodes
SpecificEcosystemEnum	Armpit nodes
SpecificEcosystemEnum	Cervical/Neck nodes
SpecificEcosystemEnum	Groin nodes
SpecificEcosystemEnum	Head nodes
SpecificEcosystemEnum	Laryngopharyngeal
SpecificEcosystemEnum	Leg nodes
SpecificEcosystemEnum	Retropharyngeal
SpecificEcosystemEnum	Thorax nodes
SpecificEcosystemEnum	Lymphoid follicles
SpecificEcosystemEnum	Splenic aspirate
SpecificEcosystemEnum	Adenoid/Pharyngeal
SpecificEcosystemEnum	Lingual
SpecificEcosystemEnum	Palatine/Faucial
SpecificEcosystemEnum	Tubal
SpecificEcosystemEnum	Actinic keratosis
SpecificEcosystemEnum	Basal cell carcinoma
SpecificEcosystemEnum	Bowens disease/Squamous cell carcinoma in situ
SpecificEcosystemEnum	Breast cancer
SpecificEcosystemEnum	Breast cancer: Ductal
SpecificEcosystemEnum	Breast cancer: Lobular
SpecificEcosystemEnum	Cervical cancer
SpecificEcosystemEnum	Colon cancer
SpecificEcosystemEnum	Gastric carcinoma
SpecificEcosystemEnum	Keratoacanthoma
SpecificEcosystemEnum	Oral cavity cancer
SpecificEcosystemEnum	Ovarian cancer
SpecificEcosystemEnum	Squamous cell carcinoma
SpecificEcosystemEnum	Testicular cancer
SpecificEcosystemEnum	Urothelial carcinoma/Transitional cell carcinoma (TCC)
SpecificEcosystemEnum	Ovarian
SpecificEcosystemEnum	Testicular non-seminoma
SpecificEcosystemEnum	Testicular seminoma
SpecificEcosystemEnum	Diffuse large B-cell lymphoma
SpecificEcosystemEnum	Lymphoblastic lymphoma
SpecificEcosystemEnum	Mycosis fungoides/Cutaneous T-cell lymphoma
SpecificEcosystemEnum	Carcinosarcoma
SpecificEcosystemEnum	Multiple myeloma
SpecificEcosystemEnum	Lesion site
SpecificEcosystemEnum	Necrotizing lesion
SpecificEcosystemEnum	Muscle abscess
SpecificEcosystemEnum	Bone
SpecificEcosystemEnum	Skin
SpecificEcosystemEnum	Soft tissues
SpecificEcosystemEnum	Soft tissues: Muscles
SpecificEcosystemEnum	Dentin
SpecificEcosystemEnum	Paleofeces
SpecificEcosystemEnum	Large intestine
SpecificEcosystemEnum	Large intestine content
SpecificEcosystemEnum	Low gastrointestinal tract
SpecificEcosystemEnum	Lungs
SpecificEcosystemEnum	Muscle tissue
SpecificEcosystemEnum	Small intestine
SpecificEcosystemEnum	Small intestine content
SpecificEcosystemEnum	Small intestine mucosa
SpecificEcosystemEnum	Stomach content
SpecificEcosystemEnum	Hair
SpecificEcosystemEnum	Kidney stones
SpecificEcosystemEnum	Genital ulcer
SpecificEcosystemEnum	Penis
SpecificEcosystemEnum	Penis: Glans
SpecificEcosystemEnum	Penis: Urethra opening
SpecificEcosystemEnum	Scrotum/Scrotal sac
SpecificEcosystemEnum	Testicle/Testes
SpecificEcosystemEnum	Testicle/Testes: Sperm
SpecificEcosystemEnum	Ovarian cyst
SpecificEcosystemEnum	Prostate fluid
SpecificEcosystemEnum	Seminal glands fluid
SpecificEcosystemEnum	Cervix
SpecificEcosystemEnum	Endometrium
SpecificEcosystemEnum	Anterior fornix
SpecificEcosystemEnum	Bartholin abscess
SpecificEcosystemEnum	Introitus
SpecificEcosystemEnum	Lateral fornices
SpecificEcosystemEnum	Midpoint
SpecificEcosystemEnum	Posterior fornix
SpecificEcosystemEnum	Bronchial epithelial cells
SpecificEcosystemEnum	Primary
SpecificEcosystemEnum	Secondary
SpecificEcosystemEnum	Tertiary
SpecificEcosystemEnum	Alveoli
SpecificEcosystemEnum	Bronchioles
SpecificEcosystemEnum	Inferior lobe
SpecificEcosystemEnum	Middle lobe
SpecificEcosystemEnum	Pulmonary fluid
SpecificEcosystemEnum	Superior lobe
SpecificEcosystemEnum	Anterior nares
SpecificEcosystemEnum	Nasal discharge
SpecificEcosystemEnum	Nasal mucosa
SpecificEcosystemEnum	Paranasal sinuses
SpecificEcosystemEnum	Paranasal sinuses: Catarrh
SpecificEcosystemEnum	Paranasal sinuses: Ethmoiddal
SpecificEcosystemEnum	Paranasal sinuses: Frontal
SpecificEcosystemEnum	Paranasal sinuses: Maxillary
SpecificEcosystemEnum	Paranasal sinuses: Sphenoidal
SpecificEcosystemEnum	Posterior nares
SpecificEcosystemEnum	Sinus cyst
SpecificEcosystemEnum	Laryngopharynx
SpecificEcosystemEnum	Nasopharynx
SpecificEcosystemEnum	Empyema drain
SpecificEcosystemEnum	Pleural effusion
SpecificEcosystemEnum	Pleural fluid
SpecificEcosystemEnum	Articular cartilage
SpecificEcosystemEnum	Bone marrow
SpecificEcosystemEnum	Compact bone
SpecificEcosystemEnum	Long bone
SpecificEcosystemEnum	Osseous tissue
SpecificEcosystemEnum	Scull: Ethmoid
SpecificEcosystemEnum	Short bone
SpecificEcosystemEnum	Skull
SpecificEcosystemEnum	Spongy bone
SpecificEcosystemEnum	Vertebra
SpecificEcosystemEnum	Elastic
SpecificEcosystemEnum	Fibrocartilage
SpecificEcosystemEnum	Hyaline
SpecificEcosystemEnum	Beaker's/Popliteal cyst
SpecificEcosystemEnum	Synovial fluid
SpecificEcosystemEnum	Synovium/Synovial membrane
SpecificEcosystemEnum	Sonicate fluid
SpecificEcosystemEnum	Thorax drainage
SpecificEcosystemEnum	Kidney abscess
SpecificEcosystemEnum	Renal cyst
SpecificEcosystemEnum	Bladder stones
SpecificEcosystemEnum	Inner
SpecificEcosystemEnum	Outer
SpecificEcosystemEnum	Intraocular fluid/Aqueous humor
SpecificEcosystemEnum	Vitreous humor
SpecificEcosystemEnum	Cornea
SpecificEcosystemEnum	Lens
SpecificEcosystemEnum	Ocular surface
SpecificEcosystemEnum	Peripheral blood mononuclear cells
SpecificEcosystemEnum	Tissue-engineered
SpecificEcosystemEnum	Bile ducts
SpecificEcosystemEnum	Rumen
SpecificEcosystemEnum	Cecotropes/Night fecs
SpecificEcosystemEnum	Proximal colon
SpecificEcosystemEnum	Ileum-cecum
SpecificEcosystemEnum	Gingival sulcus
SpecificEcosystemEnum	Abomasum
SpecificEcosystemEnum	C1/Glandular saccules
SpecificEcosystemEnum	C2
SpecificEcosystemEnum	C3
SpecificEcosystemEnum	Cud
SpecificEcosystemEnum	Forestomach
SpecificEcosystemEnum	Glandular stomach
SpecificEcosystemEnum	Omasum
SpecificEcosystemEnum	Reticulum
SpecificEcosystemEnum	Rumen fluid
SpecificEcosystemEnum	Rumen mucosa
SpecificEcosystemEnum	Rumen: Caudodorsal blind sac
SpecificEcosystemEnum	Rumen: Caudoventral blind sac
SpecificEcosystemEnum	Rumen: Cranial sac
SpecificEcosystemEnum	Rumen: Dorsal sac
SpecificEcosystemEnum	Rumen: Ventral sac
SpecificEcosystemEnum	Sacciform
SpecificEcosystemEnum	Tubiform
SpecificEcosystemEnum	Amniotic sac
SpecificEcosystemEnum	Colostrum
SpecificEcosystemEnum	Digital dermatitis
SpecificEcosystemEnum	Paw pad
SpecificEcosystemEnum	Rhinarium
